PitchAngle,Power,PredictedPower
1193.8054,476.31958,316.1403
1494.1072,757.1711,666.06903
1588.0176,852.9318,828.197
1466.6752,647.55927,627.87946
1555.7197,771.3215,765.61804
1543.2877,763.5527,743.5766
1575.1633,807.526,802.36224
1486.8546,678.0539,655.70276
1508.0695,720.0622,686.6947
1552.4485,794.42773,759.7105
1355.383,497.87805,487.03314
1404.5518,560.03314,547.7752
1022.79706,181.67563,159.80623
1017.8847,177.81866,155.56468
1062.7267,210.06876,196.47432
1063.7982,211.89548,197.4874
1056.0503,205.23174,190.1785
1047.9286,201.23027,182.57376
994.6781,163.22554,136.95636
982.1436,126.15834,128.17274
966.1691,108.0875,118.639305
989.3129,152.89955,133.07033
995.3899,158.17941,137.48514
1073.8746,228.1357,207.0274
1269.1605,405.75974,388.64252
1078.8678,224.27773,211.75522
1076.6823,222.1927,209.68636
1177.4657,307.56506,301.55222
1159.9392,290.4178,286.00714
1085.5645,229.499,218.0842
1047.6777,200.29817,182.34029
1000.0059,159.66795,140.9859
964.80023,93.62711,117.92009
965.991,68.579895,118.54496
984.36176,134.11215,129.65019
1011.7252,173.6209,150.37766
1009.6611,171.29578,148.67552
1012.8986,155.54639,151.35353
1057.0746,207.64442,191.14235
1043.7013,197.69075,178.65012
1017.6109,178.72849,155.33066
999.33655,161.47873,140.47078
983.43665,147.36627,129.02974
985.5612,150.32903,130.46344
985.5877,143.44374,130.48154
1010.63416,169.94005,149.47556
1062.0273,210.83972,195.81357
1088.7883,231.35136,221.12335
1006.0889,162.6739,145.77641
998.8763,156.82047,140.11818
982.96814,144.57748,128.71776
1013.0622,173.67535,151.4901
1083.3416,228.7078,215.98532
1037.2069,188.4099,172.68304
1025.6318,183.31099,162.29193
1051.8544,203.76712,186.24026
1021.3658,169.71654,158.5616
1086.9406,230.79817,219.3821
1024.4967,176.23308,161.29349
988.7643,142.49614,132.68333
1021.0096,171.44997,158.25276
1044.56,198.02411,179.4448
1068.086,217.21222,201.54474
1235.1581,368.38254,354.4965
1059.2227,196.41187,193.16635
1043.8779,192.89803,178.81352
1230.1353,361.68414,349.67786
1031.2964,180.03775,167.33267
990.7495,132.50227,134.09312
975.0881,104.540016,123.713234
971.3706,95.932045,121.51875
977.39246,129.40004,125.12833
1046.9467,195.42107,181.6599
1012.2486,169.19897,150.81224
1030.6678,184.87048,166.76877
985.0852,136.17427,130.13947
998.85095,149.45346,140.09871
1045.7036,195.62321,180.50502
1039.0563,185.14206,174.37381
1015.45874,163.51367,153.50314
1028.5309,164.97606,164.86008
968.0862,87.454735,119.674164
978.7895,93.8603,126.00611
1066.559,215.2232,200.09917
1036.8231,190.57875,172.33331
1038.2611,193.71169,173.64594
991.3761,134.78767,134.54338
1029.5425,160.99751,165.76186
1005.9866,161.72365,145.6941
1088.1686,226.51166,220.53949
1070.533,219.75232,203.86217
1205.838,333.2045,327.0336
1018.81616,165.72144,156.36203
1018.91547,178.24506,156.44728
1020.5346,166.794,157.84192
1135.7899,275.55554,264.45023
1121.4552,262.21628,251.45421
976.3223,104.83834,124.46614
983.48505,126.80817,129.06206
996.6302,130.82726,138.41376
997.9756,145.53252,139.43114
977.3944,102.532875,125.12951
1025.3147,162.02353,162.01248
1129.0599,268.91693,258.3718
1003.90155,144.92537,144.0318
1236.698,376.04993,355.98462
1331.7439,475.54114,458.67838
1062.4711,204.5558,196.23276
1092.8969,237.45123,224.9873
1086.6583,219.49857,219.11589
986.3534,120.85821,131.00598
1207.9529,352.94797,328.9666
1746.9199,1156.2179,1182.028
1444.8936,612.0542,599.1093
1308.9835,448.80844,432.2242
1262.1572,396.30176,381.37967
1265.4728,396.47626,384.8028
1244.3038,375.47852,363.41147
1097.0803,236.66484,228.9096
1077.8903,220.5638,210.82991
1177.9401,307.5186,301.9736
1243.626,373.80853,362.7441
1269.8804,393.5744,389.39603
1187.4779,319.14117,310.47003
1295.9841,428.50055,417.58655
1280.7435,414.57428,400.92438
1302.7965,440.80438,425.21085
1320.6594,448.91675,445.67462
1205.9742,326.42596,327.15805
1151.8859,288.37387,278.8518
1250.335,381.72812,369.39557
1221.5027,348.51108,341.51428
1202.1646,330.87274,323.69
1213.0039,345.575,333.60962
1195.4702,324.14728,317.6382
1175.6537,307.0288,299.94305
1180.2217,319.06216,304.00177
1187.4113,322.96548,310.41034
1173.4225,301.06796,297.963
1211.1,343.03113,331.85516
1354.977,501.91263,486.54007
1268.0365,400.4612,387.46844
1278.9802,409.4598,399.03296
1243.6844,368.7717,362.80173
1294.6195,426.34882,416.0721
1258.4841,387.7386,377.61942
1236.2042,358.3889,355.50687
1200.316,326.00717,322.01376
1134.3623,266.38004,263.16418
1054.2833,202.52669,188.51794
991.73944,143.8053,134.80573
1072.099,207.76114,205.34557
1282.8257,410.93344,403.16748
1174.2522,299.5743,298.69907
1323.6597,462.6003,449.17307
1268.7157,393.1513,388.17746
1300.5991,431.31866,422.74005
1348.7367,490.54572,478.98724
1338.179,471.69864,466.32068
1210.4409,337.1039,331.24893
1257.4158,387.93652,376.5321
1320.5718,454.1886,445.57248
1322.586,459.62686,447.91928
1313.9417,444.2494,437.90274
1306.3267,435.1324,429.20233
1212.4045,342.0548,333.05673
1136.4589,269.87946,265.05246
1048.8085,199.24544,183.39388
981.7288,133.56642,127.90023
974.1648,140.07506,123.15782
1031.4814,186.34355,167.49886
1144.5255,282.66342,272.287
1328.8701,462.5928,455.28702
1242.3439,368.22833,361.48523
1184.3447,311.37766,307.6734
1264.5181,389.80444,383.81433
1404.3381,555.5087,547.5075
1403.1471,556.4803,546.0155
1481.0846,663.37805,647.60486
1576.9396,812.50916,805.85956
1170.0515,294.85785,294.9734
1178.255,305.9063,302.2533
1074.5133,218.60796,207.63228
1123.2555,257.83493,253.09691
1148.7288,276.6345,276.0394
1083.5337,224.15831,216.16681
1140.4025,268.91586,268.595
1095.9313,236.22308,227.83374
1034.4015,185.60089,170.1331
985.49915,136.61288,130.4211
1023.0601,163.54305,160.03589
1019.6478,172.61514,157.07695
986.81573,134.90764,131.32468
969.10156,82.07481,120.23473
1010.33936,152.73468,149.23256
1035.1715,186.91502,170.83104
971.8307,89.30876,121.7843
992.7856,130.68806,135.56511
979.9548,141.31389,126.74948
984.44525,116.66938,129.70651
985.208,135.17662,130.22295
974.8284,116.897224,123.55637
966.4245,87.58706,118.7753
966.0697,84.4226,118.58668
990.7297,148.32607,134.07895
967.6856,108.19156,119.455124
