PitchAngle,Power,PredictedPower
0,1253.123,1601.4178
0.001,1395.3353,1601.4576
0,1553.4838,1601.4178
0,1468.4545,1601.4178
0,1475.4684,1601.4178
0,1483.7429,1601.4178
0.2495,1389.2722,1615.4467
0.1115,1636.1676,1606.6724
1.4495,1788.7922,1762.7615
0.777,1769.1278,1668.867
0.5535,1762.5286,1642.8433
0.4775,1540.679,1635.0406
0.61058825,1734.8584,1649.0776
0.8025,1743.3262,1672.0878
1.4295,1902.8372,1759.8745
1.2325,1840.1193,1731.3446
1.7705,1873.6289,1807.8114
0.817,1794.0262,1673.9391
0.5755,1627.8503,1645.2094
1.526,1848.277,1773.7474
1.845,1877.8412,1817.7354
1.2795,1819.5339,1738.1428
2.8985,1905.3795,1923.3306
0.642,1613.4391,1652.6359
2.097,1855.9071,1849.1901
1.092,1776.3888,1711.2345
1.61,1721.9966,1785.6647
1.461,1824.8827,1764.4191
2.145,1919.7172,1854.7676
4.312,1959.2766,1984.5381
5.5965,2031.9635,2016.7822
4.566,1936.3607,1991.6671
1.6755,1782.1439,1794.8154
2.714,1922.7023,1909.7671
2.576,1891.752,1898.3118
0.8895,1690.2471,1683.3961
0.184,1534.1475,1610.9757
4.159,1952.6047,1979.9696
2.249,1802.8978,1866.362
0.53,1504.8276,1640.3683
0.30684212,1571.5758,1619.8
0.722,1656.7886,1662.0806
3.012,1947.6216,1930.7571
4.2345,1960.0731,1982.2537
1.6635,1903.5793,1793.1495
1.451,1787.0834,1762.9777
2.0442104,1893.2976,1842.8959
1.6685,1746.2974,1793.8442
1.085,1696.8591,1710.2454
0.5305,1730.0396,1640.4204
1.2915,1702.5626,1739.8815
0.37100002,1624.155,1625.1401
0.104499996,1456.5134,1606.2933
0.4105,1658.5525,1628.6653
0,1447.3853,1601.4178
0.1955,1519.718,1611.7213
0.0805,1616.7694,1605.044
0.0755,1523.9377,1604.793
0.0005,1478.494,1601.4376
0,1396.348,1601.4178
0.042999998,1464.588,1603.2454
0.276,1752.0116,1617.4083
0.7852632,1768.7935,1669.9056
0.9025,1731.1461,1685.1251
0.0735,1516.687,1604.6937
0.0305,1524.0487,1602.6886
0.19250001,1595.8788,1611.5251
0,1425.5306,1601.4178
0.001,1346.9999,1601.4576
0.043500002,1534.5679,1603.2684
0.266,1507.2119,1616.6577
0.412,1548.1426,1628.8026
0.8563158,1755.9779,1679.0276
0.86399996,1579.6439,1680.0333
0.3625,1556.6006,1624.4048
0.5905,1835.3468,1646.8488
0.1285,1668.4244,1607.6195
0.5165,1625.2499,1638.9713
0.545,1822.1771,1641.942
1.834,1911.8854,1816.2861
0.206,1540.1726,1612.4166
0.26,1523.3295,1616.2135
0.384,1837.2397,1626.2806
1.8945,1939.8639,1824.1832
2.32,1998.1765,1873.8835
3.8575,2048.9011,1970.1152
2.615,2000.0481,1901.6676
1.6719999,1966.4799,1794.3301
0.1635,1719.4175,1609.6895
0.247,1685.2964,1615.266
0.2155,1510.18,1613.058
1.7945,1954.0116,1811.0358
4.0495,2039.9004,1976.5387
3.9745,2049.8284,1974.0972
2.592,2019.4927,1899.7001
0.998,1930.4731,1698.0919
0.331,1640.4524,1621.7537
0.6095,1870.5574,1648.9558
0.934,1839.2843,1689.352
