feature_1,feature_2,abs_correlation
Current L1 / U (A),Grid current (A),0.9999922303186686
Current L1 / U (A),Current L3 / W (A),0.9999913775600284
Current L1 / U (A),Current L2 / V (A),0.9999906978407909
Blade angle (pitch position) B (°),Blade angle (pitch position) C (°),0.9999902950974499
Current L2 / V (A),Current L3 / W (A),0.9999878227687999
Current L2 / V (A),Grid current (A),0.9999876043097532
Rotor speed (RPM),Gearbox speed (RPM),0.9999863746948698
Generator RPM (RPM),Gearbox speed (RPM),0.9999855580848308
Current L3 / W (A),Grid current (A),0.9999854584381452
Blade angle (pitch position) A (°),Blade angle (pitch position) B (°),0.9999817036983569
"Current L2 / V, max (A)","Current L3 / W, max (A)",0.9999809467965183
Rotor speed (RPM),Generator RPM (RPM),0.9999720155052167
"Current L2 / V, StdDev (A)","Current L3 / W, StdDev (A)",0.9999674229942476
"Blade angle (pitch position) B, Standard deviation (°)","Blade angle (pitch position) C, Standard deviation (°)",0.99996509418688
"Blade angle (pitch position) A, Min (°)","Blade angle (pitch position) B, Min (°)",0.999964088210517
Blade angle (pitch position) A (°),Blade angle (pitch position) C (°),0.999963840008871
"Current L2 / V, min (A)","Current L3 / W, min (A)",0.9999560220337449
"Blade angle (pitch position) A, Standard deviation (°)","Blade angle (pitch position) B, Standard deviation (°)",0.9999474696220161
"Blade angle (pitch position) B, Max (°)","Blade angle (pitch position) C, Max (°)",0.9999438729534293
"Blade angle (pitch position) A, Max (°)","Blade angle (pitch position) B, Max (°)",0.9999169967250754
"Blade angle (pitch position) B, Min (°)","Blade angle (pitch position) C, Min (°)",0.9999018213497043
"Blade angle (pitch position) A, Standard deviation (°)","Blade angle (pitch position) C, Standard deviation (°)",0.9998713028238171
"Generator RPM, Max (RPM)","Rotor speed, Max (RPM)",0.9998609850355048
"Blade angle (pitch position) A, Min (°)","Blade angle (pitch position) C, Min (°)",0.9998222892853801
Grid current (A),Apparent power (kVA),0.9998196413770442
Current L1 / U (A),Apparent power (kVA),0.9997933914631488
"Blade angle (pitch position) A, Max (°)","Blade angle (pitch position) C, Max (°)",0.99978693490246
Nacelle position (°),Yaw bearing angle (°),0.9997861795027221
Current L2 / V (A),Apparent power (kVA),0.9997849725946716
Current L3 / W (A),Apparent power (kVA),0.9997750873199522
Wind speed (m/s),Density adjusted wind speed (m/s),0.9997362042511982
"Generator RPM, Min (RPM)","Rotor speed, Min (RPM)",0.9996168544101629
"Generator RPM, Standard deviation (RPM)","Rotor speed, Standard deviation (RPM)",0.9996140474001576
Generator bearing rear temperature (°C),"Generator bearing rear temperature, Max (°C)",0.9981627289999748
Generator bearing rear temperature (°C),"Generator bearing rear temperature, Min (°C)",0.9981238873757747
"Hub temperature, min (°C)","Hub temperature, max (°C)",0.9970337157225952
Temperature motor axis 1 (°C),Temperature motor axis 3 (°C),0.9969536469881918
Wind speed Sensor 1 (m/s),Wind speed Sensor 2 (m/s),0.9960183969738826
Gear oil inlet pressure (bar),Gear oil pump pressure (bar),0.9952781555836264
Wind speed (m/s),Wind speed Sensor 2 (m/s),0.9951756003501292
Wind speed Sensor 2 (m/s),Density adjusted wind speed (m/s),0.9949391844184792
Wind speed (m/s),Wind speed Sensor 1 (m/s),0.9947457408114111
"Voltage L2 / V, Standard deviation (V)","Voltage L3 / W, Standard deviation (V)",0.9943982085149283
Generator bearing front temperature (°C),"Generator bearing front temperature, Max (°C)",0.9943621206186136
Generator bearing front temperature (°C),"Generator bearing front temperature, Min (°C)",0.9942677239690433
Temperature motor axis 2 (°C),Temperature motor axis 3 (°C),0.9939059685302052
Wind speed Sensor 1 (m/s),Density adjusted wind speed (m/s),0.9932505105125511
"Generator bearing rear temperature, Max (°C)","Generator bearing rear temperature, Min (°C)",0.9930824635940398
"Voltage L1 / U, Standard deviation (V)","Voltage L3 / W, Standard deviation (V)",0.9930403869927381
Voltage L2 / V (V),Grid voltage (V),0.99187764806164
Temperature motor axis 1 (°C),Temperature motor axis 2 (°C),0.991192314629046
"Voltage L1 / U, Standard deviation (V)","Voltage L2 / V, Standard deviation (V)",0.9886873174697506
Front bearing temperature (°C),"Front bearing temperature, Max (°C)",0.9885894839714394
Nacelle position (°),"Nacelle position, Maximum (°)",0.9883338445432517
"Nacelle position, Maximum (°)",Yaw bearing angle (°),0.9881314151418178
Reactive power (kvar),"Reactive power, Min (kvar)",0.9872001762877813
Front bearing temperature (°C),"Front bearing temperature, Min (°C)",0.986428345016185
Nacelle temperature (°C),"Nacelle temperature, Min (°C)",0.9864230673228772
"Wind speed Sensor 1, Maximum (m/s)","Wind speed Sensor 2, Maximum (m/s)",0.9863470208211346
Voltage L1 / U (V),Grid voltage (V),0.9858725952474066
Nacelle temperature (°C),"Nacelle temperature, Max (°C)",0.985619514842788
Reactive power (kvar),"Reactive power, Max (kvar)",0.985261922805667
Ambient temperature (converter) (°C),Transformer cell temperature (°C),0.9806925506011627
Voltage L3 / W (V),Grid voltage (V),0.9794997328087308
"Nacelle position, Minimum (°)",Yaw bearing angle (°),0.9789022852385252
Nacelle position (°),"Nacelle position, Minimum (°)",0.978697783826301
