dropped_due_to_high_feature_correlation
"Wind speed, Minimum (m/s)"
"Wind speed, Maximum (m/s)"
Wind speed Sensor 1 (m/s)
"Wind speed Sensor 1, Standard deviation (m/s)"
"Wind speed Sensor 1, Minimum (m/s)"
"Wind speed Sensor 1, Maximum (m/s)"
Wind speed Sensor 2 (m/s)
"Wind speed Sensor 2, Standard deviation (m/s)"
"Wind speed Sensor 2, Minimum (m/s)"
"Wind speed Sensor 2, Maximum (m/s)"
Density adjusted wind speed (m/s)
Nacelle position (°)
"Wind direction, Maximum (°)"
"Nacelle position, Minimum (°)"
"Nacelle position, Maximum (°)"
"Power factor (cosphi), Standard deviation"
Reactive power (kvar)
"Reactive power, Max (kvar)"
"Reactive power, Min (kvar)"
Rear bearing temperature (°C)
Temp. top box (°C)
Hub temperature (°C)
Ambient temperature (converter) (°C)
Rotor bearing temp (°C)
Transformer cell temperature (°C)
"Front bearing temperature, Max (°C)"
"Front bearing temperature, Min (°C)"
"Rear bearing temperature, Max (°C)"
"Rear bearing temperature, Min (°C)"
"Rear bearing temperature, Standard deviation (°C)"
Temperature motor axis 2 (°C)
Temperature motor axis 3 (°C)
CPU temperature (°C)
"Nacelle temperature, Max (°C)"
"Nacelle temperature, Min (°C)"
"Generator bearing front temperature, Max (°C)"
"Generator bearing front temperature, Min (°C)"
"Generator bearing rear temperature, Max (°C)"
"Generator bearing rear temperature, Min (°C)"
"Gear oil temperature, Min (°C)"
"Hub temperature, max (°C)"
Voltage L2 / V (V)
Voltage L3 / W (V)
Grid voltage (V)
"Grid voltage, Max (V)"
"Grid voltage, Min (V)"
"Voltage L2 / V, Min (V)"
"Voltage L2 / V, Max (V)"
"Voltage L2 / V, Standard deviation (V)"
"Voltage L3 / W, Min (V)"
"Voltage L3 / W, Max (V)"
"Voltage L3 / W, Standard deviation (V)"
Current L1 / U (A)
Current L2 / V (A)
Current L3 / W (A)
Grid current (A)
Motor current axis 2 (A)
Motor current axis 3 (A)
"Current L1 / U, min (A)"
"Current L1 / U, max (A)"
"Current L1 / U, StdDev (A)"
"Current L3 / W, max (A)"
"Current L2 / V, min (A)"
"Current L2 / V, StdDev (A)"
"Current L3 / W, min (A)"
"Current L3 / W, StdDev (A)"
Rotor speed (RPM)
Generator RPM (RPM)
Gearbox speed (RPM)
"Generator RPM, Max (RPM)"
"Generator RPM, Min (RPM)"
"Rotor speed, Max (RPM)"
"Rotor speed, Min (RPM)"
"Rotor speed, Standard deviation (RPM)"
Blade angle (pitch position) B (°)
Blade angle (pitch position) C (°)
Yaw bearing angle (°)
"Blade angle (pitch position) A, Standard deviation (°)"
"Blade angle (pitch position) B, Max (°)"
"Blade angle (pitch position) B, Min (°)"
"Blade angle (pitch position) B, Standard deviation (°)"
"Blade angle (pitch position) C, Max (°)"
"Blade angle (pitch position) C, Min (°)"
"Blade angle (pitch position) C, Standard deviation (°)"
Gear oil inlet pressure (bar)
Gear oil pump pressure (bar)
Apparent power (kVA)
Drive train acceleration (mm/ss)
Yaw error (°)
