PitchAngle,Power,PredictedPower
1303.0836,433.67,425.6708
1215.0458,337.75397,335.6533
1262.385,380.872,381.78647
1121.9156,253.25339,251.99052
1116.4827,248.10376,247.01895
1087.8417,226.41035,220.36845
1107.7404,241.69925,238.95993
1037.2003,185.73375,172.87831
1057.4702,204.52852,191.68666
1055.4319,198.93762,189.7716
1159.2495,287.53564,285.51346
1246.0248,366.52097,365.28192
1160.8529,291.67798,286.9366
1035.946,184.68057,171.7377
1045.8932,191.85448,180.86926
1127.1095,256.85962,256.71735
1185.2773,306.4702,308.63828
1238.6708,360.95358,358.06793
1208.3611,330.7092,329.4911
1329.0804,455.3677,455.61728
1349.5559,479.509,480.00272
1317.0095,438.81546,441.55157
1300.8793,423.95752,423.19443
1335.1177,463.75964,462.7442
1378.8759,515.9051,515.7615
1363.0614,496.8238,496.37363
1342.562,470.3173,471.60767
1184.5673,314.5437,308.00452
1310.8386,435.47064,434.4657
1250.6941,371.14996,369.92706
1291.1049,413.2164,412.34457
1317.9833,449.34094,442.6766
1302.0365,425.6061,424.4932
1331.1548,463.0319,458.0596
1244.2344,365.13742,363.5144
1299.648,426.6017,421.81558
1198.7378,326.60092,320.72906
1250.0665,372.38672,369.29977
1238.8566,358.77463,358.24872
1191.6609,313.02588,314.35278
1127.2657,255.11446,256.85928
1144.4495,272.93393,272.3332
1214.0569,337.84787,334.73727
1290.089,413.52264,411.2297
1372.115,507.3851,507.44757
1408.1931,552.54016,552.1984
1434.5132,590.2861,585.52515
1287.0079,413.01688,407.8627
1296.4487,415.87878,418.24942
1262.7849,383.89877,382.19788
1259.0935,380.14163,378.41382
1392.3246,530.2785,532.40027
1383.666,524.8967,521.67303
1260.0444,392.67963,379.38544
1194.7858,320.27545,317.16217
1120.4075,254.41603,250.61342
1213.4023,334.99402,334.13193
1309.333,434.1229,432.74835
1181.5988,312.7201,305.35773
1239.4849,365.63058,358.8604
1222.9231,344.0358,343.0086
1152.4127,280.23105,279.43646
1236.0239,358.24167,355.501
1323.4406,454.1125,449.01312
1320.2356,449.67386,445.28503
1232.0499,355.87653,351.67474
1306.8916,433.3605,429.9738
1427.95,580.6921,577.1433
1598.3905,826.706,850.1037
1556.5737,769.28973,767.2765
1592.7229,831.8108,838.1434
1673.9902,982.24756,1024.1
1659.2275,958.6542,989.0816
1736.1041,1164.2224,1159.8818
1637.9596,933.6592,938.881
1675.4213,977.52686,1027.4797
1771.9636,1295.7167,1217.9536
1502.562,729.652,678.33514
1493.2626,667.41046,664.7105
1702.5767,1091.9564,1090.1534
1695.7778,1066.0374,1074.8119
1736.3102,1222.6305,1160.2715
1720.1207,1145.527,1128.0792
1760.6765,1310.4624,1201.9572
1785.7922,1462.6614,1234.2965
1771.1827,1338.4836,1216.921
1706.818,1049.2604,1099.5612
1679.3804,977.4964,1036.8042
1549.8041,775.8314,755.0689
1390.5145,538.9948,530.1534
1506.7726,695.2801,684.6417
1628.4119,881.6498,916.7501
1613.385,855.8113,882.7512
1484.7012,654.81696,652.50385
1500.4147,674.97974,675.15295
1499.2706,671.95355,673.4665
1442.9368,597.51013,596.3733
1408.0364,552.577,552.00183
1375.4763,510.95068,511.57642
1430.832,580.0796,580.8172
1421.0442,566.2285,568.3801
1444.0182,597.89856,597.7743
1455.0627,615.84656,612.21045
1281.0045,403.4736,401.3679
1348.0433,478.10263,478.18192
1261.4926,382.92932,380.8694
1195.3087,320.579,317.6333
1168.6116,294.605,293.8196
1292.1366,417.3753,413.47955
1270.6097,404.99185,390.3303
1162.8378,288.98795,288.69772
997.8028,148.71875,139.56647
1024.0499,173.27464,161.12347
1018.7491,164.1619,156.53531
1067.1652,206.11092,200.83237
1108.4587,236.61417,239.625
998.9692,122.24859,140.45358
993.4839,133.23721,136.34998
995.968,139.94484,138.18646
1116.5265,254.68256,247.059
1275.3252,396.22873,395.3046
1399.8188,538.82355,541.72736
1420.3427,561.81354,567.49274
1260.8339,382.40805,380.19382
1236.0151,352.57867,355.49246
1264.2777,381.39273,383.73782
1108.5942,246.22798,239.75035
1002.15405,156.38986,142.91461
1039.0034,184.8476,174.52388
997.13086,138.44563,139.05899
1011.38153,144.35405,150.3359
976.93475,103.445755,125.14754
969.22046,104.28595,120.618286
970.9391,81.790215,121.58568
971.7453,111.05767,122.04783
978.38025,95.718094,126.04831
1169.0171,291.15677,294.17947
1138.5181,259.80737,267.0176
1062.0853,186.4828,196.03415
1101.3073,234.14757,232.98445
1097.4791,230.99284,229.41156
1099.0166,236.4103,230.84808
1113.0332,246.93216,243.84772
983.75854,143.80322,129.5361
1043.2975,179.03654,178.46877
1170.2697,302.16623,295.29065
1116.8357,249.9699,247.34282
1040.0481,184.09477,175.48024
1266.7166,406.98846,386.26532
1242.8497,372.5729,362.1523
1106.6519,248.02502,237.95134
1153.6348,274.77994,280.5239
1024.0354,174.40147,161.11101
1051.8649,184.06749,186.42972
999.73474,144.39285,141.04
1079.9196,193.76233,212.89496
1172.634,296.58594,297.38846
1208.2253,328.0186,329.36667
1059.2335,205.86229,193.34596
1081.9869,221.8049,214.84792
1173.7803,297.98755,298.4063
1131.5072,256.93112,260.70078
1060.8123,204.60852,194.83362
1182.6484,325.47522,306.29327
1624.0082,888.0874,906.67035
1661.9808,940.54974,995.62177
1596.1576,824.63904,845.36554
1447.1855,606.0717,601.88995
1322.3658,448.0391,447.76114
1340.5991,466.68237,469.26294
1262.285,386.591,381.68344
1340.1731,468.24872,468.75494
1402.5709,544.41815,545.16284
1491.4365,663.5845,662.0811
1637.6598,899.0011,938.1812
1383.1019,518.84216,520.9762
1420.946,569.999,568.25604
1494.2665,663.88806,666.1622
1594.9696,819.18634,842.85834
1562.5574,764.8662,778.34424
1739.9412,1244.6617,1167.0406
1628.9664,878.4689,918.0256
1756.4169,1206.5188,1195.3418
1785.0789,1259.3163,1233.5458
1779.0148,1250.1454,1226.7521
1502.8666,676.57605,678.78796
1515.9528,698.55493,698.7166
1459.7572,626.0872,618.42596
1225.1978,346.63837,345.15344
1142.3641,266.8975,270.46698
1471.0753,634.8729,633.64703
1605.49,835.2176,865.38666
1754.2072,1151.6871,1191.7914
1690.489,1039.4525,1062.6869
1489.6702,671.9439,659.5516
1446.6122,603.72797,601.1435
1523.4829,734.6089,710.61914
1369.1528,510.7922,503.81662
1352.0028,473.92932,482.95377
1474.0287,639.6822,637.6808
1322.9757,461.50815,448.47128
1171.0775,298.13965,296.00726
1288.7646,413.13266,409.77948
1486.2792,670.2857,654.73126
1502.0514,683.2495,677.5763
1435.444,589.9574,586.7186
1722.3724,1059.6599,1132.7368
1745.6509,1158.1989,1177.3125
1752.8704,1390.6157,1189.6047
1700.3093,1211.2855,1085.071
1405.4733,556.4312,548.79156
1304.033,430.07504,426.7407
1080.6144,222.97652,213.55139
1075.0089,208.10847,208.25177
1176.0951,304.4252,300.4621
1111.6686,252.01033,242.5901
1123.9767,256.90012,253.86932
1227.7767,352.17215,347.59714
1458.6652,620.9973,616.9756
1345.4335,480.62094,475.04718
1330.58,463.5138,457.38196
1274.78,400.21796,394.72656
1298.8605,431.777,420.93564
1304.4312,431.1464,427.1898
1362.9059,496.67014,496.1838
1410.3412,560.7577,554.89307
1316.5199,443.50885,440.9867
1367.1935,508.06696,501.4188
1458.3828,630.6095,616.601
1491.7009,673.9505,662.46106
1523.9633,736.61566,711.39
1458.0748,632.821,616.19275
1752.3477,1192.1503,1188.7418
1778.3306,1213.0254,1225.9402
1750.027,1356.8953,1184.8595
1698.9462,1090.1893,1081.9987
1739.2694,1171.0437,1165.8019
1465.2155,638.8819,625.7222
1367.0447,510.2208,501.2368
1571.4272,794.3493,795.2359
1611.3162,866.0973,878.1652
