PitchAngle,Power,PredictedPower
1.0274109,1899.484,1703.205
2.4189978,2046.0616,1884.6624
6.316007,2060.2722,2033.846
2.3699014,2006.8427,1879.8444
0.13399921,1624.3674,1608.5132
0,1598.1378,1601.887
0.024499744,1764.4989,1602.9185
0,1410.2952,1601.887
1.8182782,1990.3693,1815.3119
4.202783,2061.3662,1981.265
6.3561106,2054.878,2034.4934
8.595999,2060.5054,2009.8073
8.379504,2061.4014,2018.5563
8.711499,2061.12,2004.6826
5.5552397,2057.2183,2018.2445
0.69189674,1827.1346,1659.3784
0,1517.849,1601.887
0,1636.1729,1601.887
0.012499966,1751.9614,1602.4032
0.1979997,1844.474,1612.513
0.025499746,1707.5309,1602.9625
0.23149872,1822.4103,1614.8154
0.35697392,1665.108,1624.6667
0.54648775,1971.6438,1642.943
0.7054906,1962.4542,1661.0082
0.6799688,1945.339,1657.9604
0.41348428,1886.8782,1629.7087
1.0159848,1992.6293,1701.6136
0.100999445,1809.1962,1606.6592
0.015499935,1625.7887,1602.53
0.38848126,1725.0793,1627.433
1.0284384,1929.3309,1703.3485
0.31495053,1611.6416,1621.1565
0.12899901,1711.8082,1608.223
0.075499415,1580.0094,1605.3254
0.017499907,1611.8651,1602.6155
0.9529226,1856.3483,1692.9293
0.017999899,1502.9993,1602.637
0.037999902,1353.3884,1603.5219
0.1404983,1527.3241,1608.8951
0.06833297,1468.1195,1604.9661
0.03899959,1633.9844,1603.5673
0.07949549,1530.5311,1605.5289
0.05699958,1448.5051,1604.412
0.107499406,1573.583,1607.0131
1.0903087,1843.1241,1712.0494
0.024999745,1568.881,1602.9407
0.12399674,1626.7299,1607.936
0.8233665,1753.1133,1675.7239
2.2340758,1950.2465,1865.6947
2.6018298,1963.8228,1901.2288
1.4691824,1863.7025,1766.7183
2.8554697,1955.2046,1920.7802
0.93379384,1848.7502,1690.3313
1.8724173,1904.9773,1822.4178
2.4904804,1991.1749,1891.3959
2.2524695,1959.4435,1867.6812
1.1085943,1793.8806,1714.6443
0.76248324,1827.8197,1667.9973
0.8993545,1724.8291,1685.7014
1.2059109,1737.4023,1728.5913
0.6687591,1771.0785,1656.6389
3.7650583,2018.0763,1966.5822
2.4955447,1923.7789,1891.8606
2.9397776,2010.7849,1926.4656
0.94349414,1832.4502,1691.6465
0.25546858,1562.4402,1616.5492
0.9208529,1743.4153,1688.5844
0.23949182,1713.4061,1615.3854
0.31099665,1773.435,1620.8368
0.33748043,1762.3386,1623.0128
0.4184869,1762.687,1630.1725
0.77542716,1811.8148,1669.6188
0.0379993,1559.8665,1603.5219
0,1600.0494,1601.887
0,1212.59,1601.887
1.0562844,1795.3804,1707.2483
3.2011464,1916.883,1941.8584
3.6963575,1993.2524,1964.0139
2.0686123,1714.103,1846.8611
0.22095612,1657.2465,1614.0754
0.26796883,1794.222,1617.4814
0.010999993,1675.713,1602.3402
0.024999728,1487.5161,1602.9407
0,1409.2067,1601.887
0.0005,1567.3081,1601.9073
0.009999983,1532.3014,1602.2983
0,1483.8502,1601.887
0.11699493,1721.79,1607.54
0.8759064,1900.5457,1682.5859
1.183891,1934.2661,1725.4188
0.2210523,1797.4667,1614.082
0.06722124,1653.8948,1604.9111
0,1373.3569,1601.887
0.18447949,1416.7877,1611.6238
1.7855994,1940.4242,1810.9551
3.484105,1993.6953,1955.4095
2.754096,1975.4736,1913.4225
3.096345,1993.9631,1936.0642
6.450037,2044.223,2035.92
6.1643195,2055.989,2031.2078
6.5734615,2044.8846,2037.5879
6.230178,2051.1477,2032.3887
6.312617,2038.5708,2033.7902
7.026848,2055.627,2041.2494
2.1959586,1882.3848,1861.5093
4.2599525,1969.0509,1983.0297
2.6522155,1902.387,1905.4209
3.0462797,1903.5223,1933.1237
3.199393,1957.2363,1941.7653
2.8954072,1983.8335,1923.521
4.939255,1951.9954,2002.5189
3.895318,1943.2635,1971.2202
4.636776,2039.0302,1994.1254
4.8472147,2020.4595,2000.0079
7.048431,2058.7102,2041.3105
6.394007,2041.3004,2035.0844
8.099612,2059.9426,2027.9344
5.276854,2053.098,2011.3905
7.689169,2050.2407,2037.246
5.577263,2036.2153,2018.7659
4.5628676,2003.1901,1992.0107
4.508406,2023.0759,1990.4352
4.255226,1986.8783,1982.8846
2.132949,1922.5978,1854.3876
1.4519806,1993.466,1764.2388
0.76694155,1839.7063,1668.5546
1.1970247,1830.3242,1727.3099
3.705951,2037.4655,1964.3782
4.5426426,2023.1146,1991.4274
1.0578445,1903.8872,1707.4675
0.5209965,1870.0852,1640.2654
0.22649436,1778.3617,1614.4623
0.11149935,1702.5946,1607.2336
0.12599939,1661.2527,1608.0505
0.1136836,1587.4802,1607.355
0.873836,1824.1592,1682.3124
1.1149608,1914.6859,1715.5503
0.8689491,1801.5768,1681.6677
0.28349012,1610.9224,1618.6661
0.15548925,1615.0593,1609.7971
0.047499713,1656.6414,1603.9609
0.08999947,1523.1102,1606.0734
0.28246865,1572.6152,1618.5872
0.77915436,1486.8289,1670.0878
2.0898898,1650.58,1849.3783
0.39890352,1482.3893,1628.3732
0.33347875,1674.4252,1622.6786
0.17049032,1470.0482,1610.7289
0.6251545,1573.1018,1651.5999
0.6777253,1711.6754,1657.6951
0.6967081,1750.0231,1659.9532
1.3827219,1765.3264,1754.2183
0.5879621,1676.4894,1647.435
0.036499742,1491.5687,1603.4532
0.38648364,1698.9138,1627.2544
0.9224617,1886.51,1688.8009
1.915323,1948.7526,1827.9445
1.2728834,1918.8198,1738.2798
1.057943,1818.174,1707.4813
1.022441,1855.1036,1702.5121
0.028999766,1560.5846,1603.1168
0.056499593,1636.6765,1604.3878
0.40140527,1798.4386,1628.6006
0.24049403,1809.2538,1615.4575
0.24399886,1818.5234,1615.7107
0.40199926,1903.7256,1628.6549
1.8954388,2020.2227,1825.3951
1.1844693,1933.4625,1725.502
0.881884,1928.9601,1683.3772
1.6610345,2001.1063,1793.9308
1.4269071,1991.494,1760.6171
3.6739495,2022.0062,1963.1555
0.5534111,1645.5289,1643.6814
0.024499744,1511.5608,1602.9185
0.220987,1727.5421,1614.0776
0.36538383,1736.3049,1625.3942
0.48032928,1654.9885,1636.1288
1.6416223,1809.1248,1791.2249
2.266443,1977.7144,1869.1755
2.3108888,1980.8606,1873.8444
4.2676153,2036.5615,1983.264
6.107076,2057.0557,2030.1405
5.5180774,2051.0518,2017.357
2.9133215,2005.7975,1924.7224
1.7997992,1931.9666,1812.8544
1.170309,1821.1277,1723.4661
0.5992353,1714.0133,1648.6841
1.0312327,1759.4789,1703.7383
0.22898386,1699.808,1614.6377
0.28645357,1590.6353,1618.8956
0.14399946,1533.4998,1609.1033
0.6243405,1781.5266,1651.5073
0.6119296,1758.8412,1650.1045
0.71546924,1863.1984,1662.2137
1.8423235,1939.9764,1818.4856
0.089999236,1677.9176,1606.0735
0.38349816,1788.4183,1626.9883
0.11499536,1708.17,1607.4281
0.30398574,1689.1176,1620.2749
0.17449147,1539.8152,1610.9823
0.7158721,1866.4027,1662.2627
3.4371245,2008.3115,1953.3438
1.0268524,1935.8854,1703.1271
0.0989932,1547.9756,1606.5513
0.3004923,1797.028,1619.997
0.23149309,1740.3608,1614.8148
0,1371.1183,1601.887
0.013499978,1534.1357,1602.4454
0.006999999,1623.7555,1602.1733
0.39899942,1875.7417,1628.3818
0.6434541,1941.139,1653.6945
0.22471999,1635.3898,1614.3379
0.26897234,1610.6017,1617.5573
0.15848967,1471.485,1609.9813
0.056999274,1299.6439,1604.412
0,1313.5984,1601.887
0.019499872,1429.4814,1602.7013
0.007499993,1415.8236,1602.1942
0.29049277,1580.058,1619.21
0.13299924,1591.1646,1608.4548
0.80384934,1683.7262,1673.2196
0.72892475,1838.8223,1663.8519
0.36747298,1735.5558,1625.576
1.5017651,1928.1267,1771.4015
0.35248813,1772.017,1624.2822
0.22095732,1459.0371,1614.0754
0.48993638,1744.8926,1637.0907
