GeneratorSpeed,Power,PredictedPower
1613.3973,980.3376,874.7378743293417
1071.2626,203.21234,184.94695714909722
1636.7281,1165.9121,925.3082439199696
1730.7656,1309.8424,1170.8759779504635
1160.4564,288.63724,291.06082391220093
1002.8077,119.9624,117.99787423159296
1056.0431,193.34294,167.6887566411882
1516.8925,717.5312,714.21650676148
1714.5988,1240.3241,1126.4260508852894
1528.7953,724.6592,730.9915576655208
1653.3547,894.05444,964.5690409391811
1383.9171,517.4012,540.1284268095335
1244.7196,354.45676,381.65955466967944
1294.7932,406.15726,434.6572861969578
1597.2844,798.97614,842.9208692915254
1015.12854,166.5692,127.52531176123784
991.02673,144.26698,110.31048440752829
1735.3606,1233.8005,1183.3888231738915
1476.9463,628.4758,660.5037374805222
1624.0529,865.4234,897.1668827244587
1617.9495,950.2542,884.1826079606229
1609.2089,857.5565,866.227354052535
964.93286,120.37055,98.96039831531698
1533.5698,727.5296,737.8733052631264
1371.5746,500.67535,524.6324794229663
1431.212,574.3302,600.867770707174
1257.1277,382.07294,394.56796489583195
1030.1179,165.79446,140.90360130389251
1464.2515,610.09296,643.865150737078
1722.2941,1172.1343,1147.6350304391303
1223.9232,343.31015,360.03992657390194
981.8449,129.07774,105.38089528843477
1607.1838,838.18604,862.1736396100248
1062.1594,203.95073,174.51880629332481
962.8126,102.83969,98.41206552157632
1429.5405,578.2134,598.7003537303708
1550.7024,741.03436,763.4620584257648
1278.1588,388.91342,416.71640683265866
986.7569,129.95117,107.89756221727782
1483.303,647.849,668.8829780390729
1223.8162,332.67258,359.92823228927955
1217.888,331.45563,353.72624740179236
1383.5685,518.57275,539.6879339416655
1717.5151,1155.6337,1134.4679084796217
1754.8694,1120.9454,1235.1912450340374
993.8386,145.44125,112.01057841239958
970.04895,121.755066,100.52365569247308
1007.96313,131.43124,121.80937674063023
1586.1351,813.41187,822.3173216100658
1690.6823,1142.7863,1060.9576766158148
1022.4362,174.04987,133.82128719757463
1169.8601,293.17972,301.7315951248808
1421.7985,562.6341,588.6733001554458
988.48724,118.25564,108.85054749285155
1629.074,874.78723,908.1252753274887
1465.1631,615.3952,645.0567217100541
1464.6168,606.6314,644.3425925042206
1689.6779,1006.91064,1058.2486774363956
1170.0255,295.61816,301.9177002045559
1608.3932,989.50653,864.5897679683555
1141.339,260.84406,268.8416731500073
1534.3715,726.6345,739.0384739308473
1181.8105,303.2242,315.0389297937037
1244.9606,351.7199,381.909784738358
1224.5509,338.01712,360.6950080793766
1194.0646,309.27612,328.4050742014073
1754.4254,1211.3951,1234.0440237041635
1083.9333,214.9501,199.85894856079528
963.43677,99.6679,98.56736671951319
1087.5483,222.36725,204.17485760896903
1629.4554,942.1829,908.9678582099405
1126.5259,259.06424,251.21052799674715
1349.2338,475.96954,497.2120250962131
1400.5144,546.1815,561.2566107095074
1479.1525,633.1245,663.4074911912072
1678.7125,954.9173,1029.0159275667029
969.9357,97.145836,100.48541757941621
1647.4454,1003.9248,950.3197285808301
1216.7185,332.64218,352.4991770090194
1707.8932,1007.61017,1107.9475105909275
1366.5928,532.92474,518.4422280979159
1364.151,491.7045,515.4230435164015
1296.0688,410.93503,436.0527898162577
1295.8867,412.7624,435.85338711873817
1474.7197,614.9166,657.5773478663368
1381.8315,515.23444,537.4953448790203
992.0342,109.43846,110.9096112912664
998.6524,135.3569,115.11946688603325
1198.169,309.65543,332.8242262156497
963.9162,68.72127,98.69012706181081
1635.5775,1248.1146,922.6885893779206
1260.3342,372.56927,397.9172449494318
1535.8351,699.9384,741.1730976760086
1462.9539,632.2181,642.1697221155454
963.169,66.20625,98.50011527098025
965.2658,87.76098,99.05183941075256
1486.7998,644.2279,673.5107371024696
1438.7034,591.0378,610.5912392584596
1288.6357,414.72098,427.96246532049486
1032.2935,182.36552,142.98943389255498
1678.2279,1046.8917,1027.7401850583058
1159.6761,282.78024,290.1674776528892
1286.4337,396.743,425.58429981664744
1260.5886,381.1756,398.1833021813397
1755.6251,1299.0555,1237.1397105902017
1720.3735,1104.8247,1142.3461866126293
976.2302,139.92824,102.85545171976162
1424.6077,570.01447,592.3091914235524
1661.4272,933.0152,984.5328239274681
1086.5625,222.58437,202.99580555332852
1393.3511,523.67017,552.1031842536889
974.0575,122.23094,101.9814529175369
1377.4706,499.1068,532.008207633598
1155.3717,279.87424,285.2180249590046
1067.7435,191.74774,180.88225332105276
972.6269,93.06629,101.43800556797976
1680.4408,1001.204,1033.5777565311328
1081.9999,216.73883,197.56015316064736
1620.6794,1079.1382,889.9445684453368
1490.4874,658.1985,678.4077570926705
1456.9106,605.2773,634.2830783722717
963.7987,115.500984,98.65976194356335
1023.44635,167.32845,134.7264314335822
1741.9376,1188.9272,1201.1296222322935
1170.4082,289.85226,302.3480979089184
982.3969,127.99312,105.64960235274043
1432.6647,576.2798,602.752129422494
1542.1932,740.872,750.5642408714496
1742.9906,1081.9458,1203.9476360520353
