feature,pearson_corr_with_target,abs_corr_with_target
Wind speed (m/s),0.9652653828139124,0.9652653828139124
Transformer temperature (°C),0.7421242848146818,0.7421242848146818
Gear oil inlet temperature (°C),-0.7231270884868192,0.7231270884868192
Tower Acceleration y (mm/ss),0.6835847940846855,0.6835847940846855
"Current L2 / V, max (A)",0.6687133598589118,0.6687133598589118
Front bearing temperature (°C),0.6454338952991673,0.6454338952991673
Motor current axis 1 (A),0.6045795076051126,0.6045795076051126
"Reactive power, Standard deviation (kvar)",0.5852055237130886,0.5852055237130886
"Wind speed, Standard deviation (m/s)",0.5182198730584346,0.5182198730584346
Power factor (cosphi),-0.5104146160404043,0.5104146160404043
Nacelle temperature (°C),-0.5040991729149525,0.5040991729149525
"Power factor (cosphi), Min",-0.46879193815793063,0.46879193815793063
Stator temperature 1 (°C),0.46433997948691763,0.46433997948691763
Temp. top box (°C),-0.45647153648161015,0.45647153648161015
Generator bearing front temperature (°C),-0.45243962010285566,0.45243962010285566
"Power factor (cosphi), Max",-0.3823457693587726,0.3823457693587726
Gear oil temperature (°C),-0.35432000151919274,0.35432000151919274
Temperature motor axis 1 (°C),0.2948682500873351,0.2948682500873351
"Blade angle (pitch position) A, Max (°)",0.2603500919835217,0.2603500919835217
"Generator bearing rear temperature, Std (°C)",-0.24766200964840673,0.24766200964840673
Tower Acceleration X (mm/ss),0.23181592745045632,0.23181592745045632
"Gear oil temperature, Max (°C)",-0.22471090938233257,0.22471090938233257
"Gear oil temperature, Standard deviation (°C)",0.21017171465544274,0.21017171465544274
Generator bearing rear temperature (°C),-0.19244092855790362,0.19244092855790362
Long Term Wind (m/s),0.17923161693762113,0.17923161693762113
Nacelle ambient temperature (°C),-0.14456256334115156,0.14456256334115156
"Wind direction, Minimum (°)",0.14241396188254354,0.14241396188254354
"Wind direction, Standard deviation (°)",-0.12753600012872257,0.12753600012872257
"Blade angle (pitch position) A, Min (°)",-0.12435985639686939,0.12435985639686939
"Grid voltage, Standard deviation (V)",0.12186336531436069,0.12186336531436069
Wind direction (°),0.11920656454648869,0.11920656454648869
"Hub temperature, min (°C)",-0.11394640153530543,0.11394640153530543
Voltage L1 / U (V),-0.1048799817283771,0.1048799817283771
"Voltage L1 / U, Standard deviation (V)",0.09665513372505626,0.09665513372505626
"Front bearing temperature, Standard deviation (°C)",0.09373434674415239,0.09373434674415239
Blade angle (pitch position) A (°),0.08047416869224386,0.08047416869224386
"Voltage L1 / U, Min (V)",-0.07371008071582105,0.07371008071582105
"Generator bearing front temperature, Std (°C)",-0.07321457187146604,0.07321457187146604
"Nacelle temperature, Standard deviation (°C)",-0.06272548166001744,0.06272548166001744
Cable windings from calibration point,-0.051039222351660925,0.051039222351660925
"Generator RPM, Standard deviation (RPM)",0.041309023676420364,0.041309023676420364
Vane position 1+2 (°),0.04128788577830754,0.04128788577830754
"Nacelle position, Standard deviation (°)",0.032985234665336725,0.032985234665336725
"Grid frequency, Standard deviation (Hz)",-0.013325449121131046,0.013325449121131046
"Voltage L1 / U, Max (V)",0.008015845381757807,0.008015845381757807
"Grid frequency, Min (Hz)",-0.006556688299725464,0.006556688299725464
Metal particle count,0.005861670792376365,0.005861670792376365
"Hub temperature, standard deviation (°C)",0.005049807411112804,0.005049807411112804
Grid frequency (Hz),-0.0016917026395699287,0.0016917026395699287
"Grid frequency, Max (Hz)",0.0004919470563160383,0.0004919470563160383
