feature_1,feature_2,abs_correlation
Nacelle position (°),Yaw bearing angle (°),0.999999911451284
Current L1 / U (A),Grid current (A),0.9999898336591414
Current L1 / U (A),Current L2 / V (A),0.99998941160217
Rotor speed (RPM),Gearbox speed (RPM),0.9999875251337298
Current L2 / V (A),Grid current (A),0.9999848116838486
Generator RPM (RPM),Gearbox speed (RPM),0.9999844352971606
Current L1 / U (A),Current L3 / W (A),0.9999825834660802
Blade angle (pitch position) A (°),Blade angle (pitch position) B (°),0.9999821534974179
Current L3 / W (A),Grid current (A),0.999977441883727
Current L2 / V (A),Current L3 / W (A),0.999977183974284
Rotor speed (RPM),Generator RPM (RPM),0.9999718765454186
"Current L2 / V, max (A)","Current L3 / W, max (A)",0.9999675393278311
"Blade angle (pitch position) A, Standard deviation (°)","Blade angle (pitch position) B, Standard deviation (°)",0.9999441054602393
"Current L2 / V, StdDev (A)","Current L3 / W, StdDev (A)",0.9999423251318834
"Blade angle (pitch position) B, Min (°)","Blade angle (pitch position) C, Min (°)",0.9999423242500137
"Blade angle (pitch position) A, Max (°)","Blade angle (pitch position) B, Max (°)",0.9999216606969742
"Blade angle (pitch position) A, Min (°)","Blade angle (pitch position) B, Min (°)",0.9999161260441224
"Current L2 / V, min (A)","Current L3 / W, min (A)",0.9999065242021322
Blade angle (pitch position) B (°),Blade angle (pitch position) C (°),0.9998590392120802
Blade angle (pitch position) A (°),Blade angle (pitch position) C (°),0.9998469164089437
"Blade angle (pitch position) A, Min (°)","Blade angle (pitch position) C, Min (°)",0.999841812874195
"Generator RPM, Max (RPM)","Rotor speed, Max (RPM)",0.9998199663137634
Grid current (A),Apparent power (kVA),0.9998160631934686
Current L1 / U (A),Apparent power (kVA),0.9997863784067106
Current L2 / V (A),Apparent power (kVA),0.9997793451372252
Current L3 / W (A),Apparent power (kVA),0.9997646631780414
Wind speed (m/s),Density adjusted wind speed (m/s),0.9997532216868512
"Generator RPM, Standard deviation (RPM)","Rotor speed, Standard deviation (RPM)",0.999648662813965
"Generator RPM, Min (RPM)","Rotor speed, Min (RPM)",0.9996401318630338
Generator bearing rear temperature (°C),"Generator bearing rear temperature, Max (°C)",0.9981941469789348
Generator bearing rear temperature (°C),"Generator bearing rear temperature, Min (°C)",0.9981653005260813
Temperature motor axis 1 (°C),Temperature motor axis 3 (°C),0.997433444623851
Wind speed Sensor 1 (m/s),Wind speed Sensor 2 (m/s),0.9967861223685544
Temperature motor axis 1 (°C),Temperature motor axis 2 (°C),0.9966653166211581
Temperature motor axis 2 (°C),Temperature motor axis 3 (°C),0.9965900496408722
"Blade angle (pitch position) B, Standard deviation (°)","Blade angle (pitch position) C, Standard deviation (°)",0.9964412961821163
"Blade angle (pitch position) A, Standard deviation (°)","Blade angle (pitch position) C, Standard deviation (°)",0.9963722409512688
Wind speed (m/s),Wind speed Sensor 1 (m/s),0.9955210078042572
Wind speed (m/s),Wind speed Sensor 2 (m/s),0.9950969439968431
Wind speed Sensor 2 (m/s),Density adjusted wind speed (m/s),0.9948634081489556
"Voltage L2 / V, Standard deviation (V)","Voltage L3 / W, Standard deviation (V)",0.9946555048058543
Wind speed Sensor 1 (m/s),Density adjusted wind speed (m/s),0.9943218143965136
"Blade angle (pitch position) B, Max (°)","Blade angle (pitch position) C, Max (°)",0.9939710383828673
"Blade angle (pitch position) A, Max (°)","Blade angle (pitch position) C, Max (°)",0.9938509421431581
Ambient temperature (converter) (°C),Transformer cell temperature (°C),0.9937893802121642
"Voltage L1 / U, Standard deviation (V)","Voltage L3 / W, Standard deviation (V)",0.9933558176225075
"Generator bearing rear temperature, Max (°C)","Generator bearing rear temperature, Min (°C)",0.9932092699551943
Generator bearing front temperature (°C),"Generator bearing front temperature, Max (°C)",0.993151122143656
Generator bearing front temperature (°C),"Generator bearing front temperature, Min (°C)",0.9931149989279456
Gear oil inlet pressure (bar),Gear oil pump pressure (bar),0.9930087939068443
Voltage L2 / V (V),Grid voltage (V),0.992673785620398
"Voltage L1 / U, Standard deviation (V)","Voltage L2 / V, Standard deviation (V)",0.990313373339474
