,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
Wind speed (m/s),0.1292343360066099,-0.04386471156446029,0.023763619596289254,0.00037269680534353535,0.033103001904359004,-0.034108097317309766,-0.013068544952570649,-0.012805097775592127,-0.011041167389356829,-0.010103652387474252,-0.0507296052182593,0.016075065023019457,-0.00223963358558457,0.02304332413557385,-0.012353017499607944,0.006481087411080229,0.01312743395600195,-0.03501084686655656,0.01649513462079382,-0.0077225298380765904,0.019834410077655462,0.001356339194213236,-0.006881050841923123,-0.0021441808098046746,0.0034933801796454473,0.0037072206295673217,0.011454757576371242,-0.011492008123047358,-0.0006557013937619296,-0.001686383098191418,0.0030419959818971227,-0.006348601054985128,-0.020043402580303817,-0.007993884447314673,0.014902222548502484,-0.004182656461303731,-0.014937331098302217,0.0031890526808695057,0.00020563945112841398,-0.006132185882447791
"Wind speed, Standard deviation (m/s)",0.08097903782140836,0.07074267921784042,0.06907694561743735,0.0034868314206617217,-0.12503372965089393,0.15365810306381067,0.04520166606370497,-0.012580941779509998,-0.036033242010040406,-0.012304197157480014,-0.0493353873956468,-0.006732808312002944,-0.008726710755721095,-0.03549789637817289,0.03512294142916719,0.047254358344530165,-0.08035378263042522,-0.023221800454013314,0.04468325550913513,-0.0035505293229541944,-0.005629158607712204,-0.02653120654623562,-0.009625213662632675,0.0028820494072164175,-0.01347675753978192,0.012336100418730548,0.08353986385447872,0.01638214156709377,-0.029442448760459868,-0.08920902871696015,-0.006697203211970654,-0.05523509195304659,0.05143096608280001,-0.030159853370671733,-0.007310299982496535,-0.02312228190183918,-0.01946302075882446,-0.03799072154653373,-0.027404667177847356,0.034818949544987376
"Wind speed, Minimum (m/s)",0.10921277328238034,-0.07994576421590793,-0.0023793050694634887,-0.008150974624116613,0.08656896260987185,-0.10008588361866522,-0.03132789261873008,-0.009778684761333256,0.010130053001744896,-0.003564750010497615,-0.024439102356960812,-0.007156033422062363,-0.006689564147857227,-0.00028044623541907676,-0.004881825371899622,-0.008417777900660752,0.04762030450186536,0.06500985053731968,0.004244635464485884,0.008455749745442146,-0.023108498785699715,0.008623494829966796,-0.03649228460234409,0.010987863037765697,-0.005563563357040445,-0.0032850744485935666,-0.019509820879907255,-0.013247418966584983,0.013662439156447053,0.05723581742132533,0.0005761940329123446,0.04207581586155608,-0.03694804333554362,0.028911053361265957,0.020046708393105597,0.018133387309850955,-0.008961945757354903,0.02002830276189436,0.03624172249563187,-0.001784185396529761
"Wind speed, Maximum (m/s)",0.1288086824231729,-0.013218016794366516,0.041457844747851746,-0.0037118618625030545,-0.016455751147456926,0.024118213431139568,0.005227951141650422,-0.015416754607935554,-0.014587062190607833,-0.010054329963283135,-0.045365446372630125,-0.010043733615731104,-0.010845851202255754,-0.02118932273519014,0.019000717942591477,0.02311098456166076,-0.018272827830617525,0.02918884549426226,0.030454691124286323,0.002699542823993359,-0.017610920456987422,-0.009133193847730162,-0.03439858401451306,0.011439859755686371,-0.012672203717197666,0.0028845297494321954,0.04002407189269942,-0.00010519713108084194,-0.008292259855536938,-0.019636721572868714,-0.004668618368952611,-0.009004302011953515,0.013384754024647477,0.0008772122912163137,0.009287613123534155,-0.006697601825433344,-0.01827360879125455,-0.01140303556750252,0.012715374843285552,0.029107576521892012
Long Term Wind (m/s),0.026359644385485628,-0.049457434017672275,-0.1871092547421678,-0.002101274389340384,-0.022962643158216944,0.04235012720039133,0.025246146535687172,0.08427636176309561,0.08054499110405317,-0.02253132834504981,-0.0876745499941814,0.016941873197408655,0.007080090216395734,0.05390317363845171,-0.020755269195054812,0.01776169362902765,-0.059014168647058295,-0.015430953088985955,0.08578806328703646,-0.04835982147620585,0.10371968277003166,-0.09442180216410256,0.18287419790287457,-0.012506303611224517,-0.030723361439628928,-0.009169976842418041,-0.09426068038619181,0.06185025050495758,0.03385565072398954,-0.008996304790351174,0.005000488483828501,0.038803038419533586,-0.04654059781327051,0.07205599937195825,0.05940583953057321,0.14065274853128082,0.2559155277223946,-0.2131745002136258,0.2077818866294232,0.2798239345118791
Wind speed Sensor 1 (m/s),0.1292830868551969,-0.03790108546582649,0.0355351017540087,0.0008458909873203611,0.028922420759338596,-0.030180304790319135,-0.01093342581148321,-0.01609600337935921,-0.012945820964780835,-0.007816970640115883,-0.03639043940148046,0.015441903377619734,0.00010307170692113767,0.022311059254361127,-0.0125876491122298,0.004099319624876635,0.02040928525527658,-0.03677826369808149,0.020248983169064164,-0.0026636494348002693,0.009658417754974724,0.001633532633803698,0.001266734524770427,-0.004822065289919623,0.015218614718617643,0.001195372923179918,0.009165740169045013,-0.011617068424321697,-0.0006223114803760445,0.0016670065889154238,0.0022433186077572068,-0.009217707801436999,-0.013613789546560714,-0.00921814483274884,0.012172718656332765,-0.009623817459439892,-0.009121316036856647,-0.0012364761997728825,0.0004797647103888373,-0.002126087623031684
"Wind speed Sensor 1, Standard deviation (m/s)",0.07657118602808216,0.07476941656973585,0.0714239854828762,0.0037214022436020053,-0.1360879627258168,0.1651883301429976,0.050481014349995856,-0.011038275154812857,-0.03727211455843442,-0.016020893182832285,-0.05487324759382334,-0.008094005128060106,-0.010937281834615835,-0.034375754285663765,0.03706601485827074,0.05244467879881274,-0.08537528180776773,-0.01854675526079308,0.047696542538512084,7.158056253149525e-05,0.004542530945109273,-0.029547161195323506,-0.015271690427948858,0.0061763731789411126,-0.01298977903501787,0.012882568078812242,0.09036288443965262,0.010439473399558877,-0.027085318016492256,-0.08733184683581746,-0.004775608335146019,-0.053648801125661956,0.04457316348333549,-0.02991114441129677,0.00032507022353451404,-0.019503365679747968,-0.03050448149482163,-0.023023389477710883,-0.019371675744004127,0.035602442494093355
"Wind speed Sensor 1, Minimum (m/s)",0.11252923929298539,-0.07426385019336346,0.01170030005887468,-0.007692997382100712,0.08496859278703112,-0.09887241056960333,-0.030689985806894943,-0.013709630438965559,0.00817797476976688,0.0005691114597240268,-0.005537194216966704,-0.007644119112851559,-0.004195465956620589,-0.0023330678778425984,-0.004229548668798905,-0.014607480827659811,0.05470459377218856,0.06029423094520364,0.004339265690056507,0.011292245330875458,-0.04115477509834586,0.010192287341100049,-0.025374940681468682,0.0073208667179404845,0.013189492869131932,-0.006330112561157786,-0.025416842432871272,-0.01165222085467808,0.012111528499316635,0.060086453359140764,-0.0011578962187533764,0.03563081371235002,-0.02802315197761456,0.025828305653897925,0.01380166383933557,0.008725371058740853,0.000927369278242841,0.00630671823893444,0.03448996899788007,0.006207512215586592
"Wind speed Sensor 1, Maximum (m/s)",0.12843657189642638,-0.008812685527572861,0.051158940547081894,-0.00330098454093207,-0.020997809690207286,0.0282997836912387,0.00708221665293296,-0.01738880966520734,-0.015968052678023537,-0.008661606351776235,-0.03472212275687758,-0.010536687859322366,-0.009613528932212595,-0.020216969591559025,0.018642022681633175,0.02238453843619828,-0.013762629656805664,0.02870853737775353,0.03362811101707974,0.0071262753651146205,-0.02201668871580223,-0.009069142113185009,-0.02893491802384044,0.01111891365508346,-0.0013035913045796946,0.0010617076627447743,0.03877927899452467,-0.0013262324758656074,-0.008786654453482874,-0.01776343690504889,-0.005091918006003726,-0.011371413011702237,0.013755317628074665,0.0003199490245661546,0.011602875895450476,-0.01237707225408243,-0.016845179359248827,-0.012113513225378507,0.017854225810766258,0.031673867675149826
Wind speed Sensor 2 (m/s),0.12912599520320617,-0.04368205337256976,0.02374605286564554,0.00045266559138190665,0.03184550020304511,-0.03118139495276326,-0.012604101050857991,-0.01177813314335907,-0.008226835794989229,-0.008565313938770719,-0.04202840316157877,0.016231605751683253,-0.0002376067627421867,0.022398201859975847,-0.01350397260169453,0.002362520299976932,0.017180183268062588,-0.03833079106476682,0.015212545305016527,-0.006632629770068926,0.0020630067807114183,0.0033797934685134996,0.0037199791775899133,-0.004974587224662128,0.018621207541101623,0.0013082005048700995,0.005560566859420621,-0.009929092010990515,-0.0005686044495041105,-0.0006540038904472995,0.00333625715035921,-0.006824008825840666,-0.014550878537483436,-0.00901946197030374,0.012228161468302828,-0.009388222464362859,-0.010157427440615152,0.0007209741028161125,-0.0027971233675276076,-0.00042476719904090826
