,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
Wind speed (m/s),0.12864989867536167,-0.024469515293223595,0.045502159894367934,0.023914829507704037,0.004768105677729229,0.017927896857507522,-0.03382856776804327,-0.008143170152739925,0.006981761197101292,-0.022270258341077435,0.0397397508998548,0.0010860962686819466,-0.00024205554626659164,0.005795233785685856,0.009913103986559762,0.0182729198613288,0.0018679464223799109,-0.025436868012463504,0.002149074316851643,0.008936466063759517,0.006229010164004423,-0.013810180052204602,-0.009758597253048087,-0.0021600122442770055,0.007302454003300447,-0.0024613333220145158,-0.0002921736565758321,0.0020354960577343654,0.0045392789841457335,-0.00770896799697486,0.004844692823594216,0.001984919817547227,-0.004626260152434658,-0.009989875650217004,-0.00023134696948673222,-0.0007964649975237105,0.015221386767228604,0.015605448272062044
"Wind speed, Standard deviation (m/s)",0.07756445762669695,0.10251664350882787,0.020184972482664584,-0.11712167484120253,-0.009410010004368145,-0.08432408092094607,0.1405606127484295,-0.018921230916480025,0.030225887879652108,-0.04359134894937184,0.05534929405662736,-0.00788489303534859,0.035768164150181074,0.012187706601171189,-0.012224475540575371,-0.07359778457330395,-0.010234064021730993,-0.04793251395508234,0.026634942812640547,-0.01103197312601219,0.006191128118877945,-0.011652089829372731,-0.02656037763503646,0.012644350160966402,0.04507646438821672,-0.03454013817684028,-0.006251683911196854,0.0136444346535746,0.03692448912595836,-0.06382864778847118,0.0905072774345312,-0.0034078929016580868,0.03955099358962764,-0.05706104933095504,-0.006503439640935854,-0.017330907606162137,-0.05347454125330169,-0.054589788978473344
"Wind speed, Minimum (m/s)",0.10975623447816506,-0.07147739100575606,0.04334347787417814,0.07173905350955317,0.008103179122483033,0.05076089391315386,-0.09495322947945378,6.36274148635152e-05,-0.005869180060313929,-0.0037837925748788748,0.01934697243354422,0.006635358156006462,-0.019692271022806983,-0.001195752224253565,0.014119922402388331,0.05675741023294756,0.006282908606851476,-0.007466558998056164,-0.009129958424773921,0.013570500097012127,0.006144163149604207,-0.01126667328682274,-0.0003319013157400755,-0.020875964833192987,-0.008421199508614653,0.013913513974900593,0.0007587521839685835,-0.004100411159794159,-0.011661649677951517,0.02609351915274956,-0.04258094325250123,0.0009042831130744496,-0.02858525222130514,0.020413267641266185,-0.00013310033389936528,0.009271975013006997,0.04441701701734119,0.05509001739589767
"Wind speed, Maximum (m/s)",0.1274193681272489,0.010390923526182982,0.04366633904060996,-0.018353841029268125,0.0001919189544615299,-0.014442655127098608,0.015120952553516809,-0.01116039891071001,0.01316301139363557,-0.028441727006486173,0.04549334748473738,-0.0007312341216533947,0.009593319445310059,0.007961598791534664,0.002747816816085491,-0.004935291384178059,-0.002141121735568541,-0.03371721842827005,0.009205510460632303,0.0035321359770430633,0.006818813457732671,-0.01904815355479754,-0.01635841784840405,-0.009284992005426394,0.021848282176611535,-0.015029230092334056,-0.003444939604984113,0.004996375442459377,0.015274218200614025,-0.025515823374532058,0.028812824208810317,-4.8571057650686165e-05,0.01236583866666123,-0.023838683758407246,-0.000523147009984507,-0.0051246748899798225,-0.0013688062211162852,0.0029564037173145305
Long Term Wind (m/s),0.025304588083341163,-0.146543788766901,-0.1126960242850576,-0.018372407188687823,6.201318636651909e-05,-0.0032579023566851883,0.08145011287282344,0.04878783969242014,-0.06647785526986766,0.017313928723228678,0.07038104486872687,-0.00027209021558093245,-0.04512076177874987,0.01941540361136839,0.0988728030430371,-0.13282193739187834,-0.017197519987220015,-0.06070213488247056,-0.0016402255636506283,0.04459406567840829,-0.17616430183421003,0.08641062725530921,0.04704137930867372,-0.05189123966476508,-0.12626003081735765,0.029073841681640827,0.006269340448551016,-0.008200837777670784,0.06833633962454311,-0.09166956115369652,-0.04524464042313704,0.0012027581839425105,0.06288138263003544,0.09537780030853266,0.21795140666143248,0.2841095143018751,0.20632251002892066,-0.1298345034500206
Wind speed Sensor 1 (m/s),0.1286552335043807,-0.013223758465334301,0.05121902186090321,0.02069350678395547,0.004441345630658261,0.01630190845832913,-0.03160075161949433,-0.010815650793241392,0.009332543292633612,-0.01891144240725079,0.025896076094689177,0.0009645055286445518,0.0008852115460653489,0.0057214594626785464,0.008942869325430022,0.020925060214557423,0.0015947407149106418,-0.02714577439808602,0.0035527702292850877,0.002172877970511883,0.01235254205949074,-0.012530212729408519,-0.011577572839164843,0.012396707453171348,-0.00976901481058138,0.0031296802260926265,0.0003967052627858402,-0.007570047884753833,0.0006149194115179502,-8.411882938536008e-05,0.010524012396912044,0.0006408331923112957,-0.0037118810575188788,-0.005944532160640226,0.0010897783176411976,0.0069715680200896114,0.007218527275717895,0.010974014513182279
"Wind speed Sensor 1, Standard deviation (m/s)",0.0743778952291662,0.10679951287382111,0.02048943905573819,-0.12441033895797693,-0.00967898183821285,-0.0893805124844575,0.15291999286044444,-0.018522651720475874,0.03319563107559108,-0.04945468799126149,0.06291298598651027,-0.008386435662921733,0.04231733924734354,0.014682021399968936,-0.009101894818794892,-0.07613248886184121,-0.011539613213003938,-0.04553268187786391,0.02793909939992046,-0.0033651810992472997,0.009371460433514271,-0.017079372725113492,-0.026455168511466745,0.013416789574698402,0.04440270214051549,-0.03312497527983066,-0.00620861098617463,0.012458028126977064,0.03693058217231738,-0.06861858711084336,0.0852639645115005,0.000663442413305227,0.043832668397941935,-0.06565714815499557,-0.01191855899757581,-0.019192999847112997,-0.04097427044465779,-0.038843461469829615
"Wind speed Sensor 1, Minimum (m/s)",0.1127961100596865,-0.05899962802014973,0.04993510377980678,0.07017383660167703,0.007843295532657531,0.050992046914538736,-0.09752933478948933,-0.0037317903253520635,-0.004161264207676228,0.002188797108583218,0.0010266862502429919,0.00645932421263431,-0.019949204628123145,-0.0016631824310934032,0.011893411823678895,0.058446126647065874,0.007697280014416906,-0.010892265128294248,-0.008514353701382692,0.00237767770175698,0.011946473592484056,-0.006716923872332515,-0.002794530297401683,-0.0010623476675964746,-0.030385139819479795,0.021454585544120275,0.0015388799512865252,-0.017214545381732515,-0.01623915304486648,0.03539802930328714,-0.030707600986878428,-0.001776469018745912,-0.02983982736275225,0.028055277855084104,0.00487598910825816,0.020420596257325424,0.026926501658097984,0.04192579079342344
"Wind speed Sensor 1, Maximum (m/s)",0.1270558895150581,0.019559112441703084,0.04836462546625461,-0.021573322751663432,-9.291039643004317e-05,-0.01607577587840059,0.018034516312748466,-0.013572512534145792,0.015989829735147593,-0.02669435872590603,0.0347753162901618,-0.0015689370188806365,0.012606093216356258,0.008699801996725473,0.004145689011335968,-0.004542398872881076,-0.0016316006612852492,-0.033056428837102636,0.010113466688750808,0.0002508323868930379,0.012227082490874522,-0.019250461947743464,-0.016668681756550383,0.005250330661634016,0.0054071028920285695,-0.008317127268417126,-0.001852564514936755,-0.004873844168166878,0.011316430927286215,-0.020653736792513627,0.031376059648087304,0.00024552417646102895,0.012712588517503112,-0.023728454825312204,0.0007749848158043091,0.0014511844080271582,-0.005477393244389471,0.0047336107121850254
Wind speed Sensor 2 (m/s),0.12856965470719886,-0.02437921002891898,0.045625165922470026,0.022415119327463123,0.0046668898371496625,0.015633556515675662,-0.030228164891722864,-0.008007958948482663,0.004423703866136185,-0.016887288541440837,0.029484269208659375,0.002517312590256453,-0.0029703870499559796,0.004522392700114812,0.009453248236724214,0.018993670487448128,0.0010487087406514488,-0.025342088532824825,-0.0012013239319733186,-0.00020456783339109497,0.015208461067308263,-0.011341727736814078,-0.011789026301147448,0.0164235632057862,-0.010239718595598815,0.002935264390936658,0.0004616172329054728,-0.006412864221800891,0.0027086276915219004,-0.002439574045236481,0.006739114932698458,0.001348158938291391,-0.0023654196527122355,-0.005374067992871601,0.0005314578692462801,0.004902522699140916,0.010750032307110802,0.009988654640818065
