component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3104685920836617,0.3104685920836617
PC2,0.08748541245151435,0.39795400453517604
PC3,0.07968874279202216,0.4776427473271982
PC4,0.054353981882290583,0.5319967292094888
PC5,0.05214533042967939,0.5841420596391682
PC6,0.03637976484687749,0.6205218244860456
PC7,0.03433211175456309,0.6548539362406087
PC8,0.027981234883905796,0.6828351711245145
PC9,0.027178948891108896,0.7100141200156235
PC10,0.021224554549642186,0.7312386745652657
PC11,0.018621316159113086,0.7498599907243788
PC12,0.017356088868633372,0.7672160795930122
PC13,0.014906071454665321,0.7821221510476775
PC14,0.01383737313670585,0.7959595241843833
PC15,0.013182528175187586,0.8091420523595709
PC16,0.013116962455233075,0.822259014814804
PC17,0.011903278233400674,0.8341622930482047
PC18,0.010391431091562531,0.8445537241397671
PC19,0.009997978727964697,0.8545517028677319
PC20,0.008308964608719022,0.8628606674764508
PC21,0.008040326183106156,0.870900993659557
PC22,0.0075445752587572764,0.8784455689183143
PC23,0.0070891635188347615,0.885534732437149
PC24,0.006232812343296421,0.8917675447804454
PC25,0.005793334355002861,0.8975608791354482
PC26,0.00542743810837131,0.9029883172438196
PC27,0.005411017834417476,0.908399335078237
PC28,0.005314557122543096,0.9137138922007801
PC29,0.005082368646301491,0.9187962608470817
PC30,0.004882473565987084,0.9236787344130687
PC31,0.0046533423833632175,0.9283320767964319
PC32,0.004522401888845466,0.9328544786852774
PC33,0.004016855894147585,0.936871334579425
PC34,0.003784112225079947,0.9406554468045049
PC35,0.0035812936921547993,0.9442367404966596
PC36,0.0033945848721569933,0.9476313253688167
PC37,0.0031369316035782624,0.950768256972395
