,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
Wind speed (m/s),0.12712489505572952,-0.0063405711475077245,-0.04074562689118633,0.0053428248965707425,0.0416161428018443,-0.01622212613849814,0.0526959275451682,0.002014745501744099,-0.014039270067997137,-0.0053499647425206956,0.04249022309559133,-0.008370964355325514,0.008116213599063218,-0.0004084750965772843,-0.0035942797903121496,-0.0005843785403608587,0.01679649532767135,0.008650311937720393,-0.023841238239202228,0.007355861122629545,-0.008359499511287396,-0.00250637217838453,-0.007104705255767978,0.007109527771825679,-0.0021469246763330405,-0.00024921599718890773,-0.0001282334033180609,0.002305237076717521,0.003086722262701392,-0.0057614476604082015,-0.01305111676448029,0.013108433251077656,0.005365630453905671,0.005296094782620468,-0.0188362806225791,-0.0002855437361210462,0.0026737854555209622
"Wind speed, Standard deviation (m/s)",0.08304365808547132,0.1036754227652438,-4.720170926668377e-05,-0.003814010321784347,-0.09566815349614224,0.011098988888030958,-0.15297665075745365,-0.025659849752540865,-0.04555442394418175,-0.01950919249904404,0.0781060986394328,-0.02283638768771886,0.036685833216577285,-0.04094851491847516,-0.019739509897756604,-0.012390119502035345,-0.055366151331694376,-0.009933671402573967,-0.020359150593045047,0.037081823283190506,-0.05885160718477472,-0.014294354718805621,-0.03213050828300799,0.023327179472575666,-0.02811956182275215,-0.002061981834256313,-0.008848298431657142,-0.027684759587794094,0.03989686622371182,-0.006929204702254345,-0.1142605614387221,0.010436127271871196,0.07503968631792989,0.004835433291434359,-0.0628017750053253,0.05210273957959749,-0.07683794861079944
"Wind speed, Minimum (m/s)",0.10779371276791634,-0.052968947380736986,-0.04952669448164093,0.008343629583060619,0.08412260962006446,-0.02204410016050215,0.12009793415434439,0.014668636837593726,0.005955930551930402,0.0014348713927845036,0.007745009884862819,0.0013579693881485486,-0.007894469128638937,0.021043112497476046,0.005696259667356009,0.0052671161357442115,0.0414524488923485,0.007965192910924273,-0.014843219536769703,-0.013673921298256567,0.01360634392806295,0.006005186146271226,0.00535473424106268,0.0055543868875816485,0.004912464096918097,0.0008898234822461873,0.0007957265921385961,0.01364127822134119,-0.017615438103586595,0.0018491087521046732,0.050886944625297095,0.007405733615233721,-0.03961862477468928,0.005973973052532747,0.004698646685200817,-0.038829333008666846,0.04889176444139484
"Wind speed, Maximum (m/s)",0.1264163134578007,0.02910425908737377,-0.03273127541396459,0.0031782837696561345,-0.0031859830868509187,-0.00825481992656757,-0.014696287534871177,-0.008093171123750404,-0.022990302805136115,-0.010098960003351684,0.05098786595695548,-0.012167284744028367,0.016159177752109177,-0.01518565994232968,-0.00889905756831929,-0.004666909029475321,-0.00783263662302447,0.0008163456061190469,-0.023523572282243194,0.012671447497040321,-0.028900420005805984,-0.004025306260291477,-0.016970243001006406,0.022557927394725168,-0.011663398629246915,-0.0004858245284976049,-0.00512414067549571,-0.006197615739889474,0.012819218930060735,-0.0029052532148730846,-0.03872005071390391,0.00884609601595069,0.0220582794089439,0.0052911522632230895,-0.034323600030211045,0.017104007608468388,-0.017080136219140705
Long Term Wind (m/s),0.028715680761936587,-0.16328316012432947,0.06962756490673033,4.8363025052497455e-05,-0.0418948642016016,0.06542958919482841,-0.06168883355594091,0.0007994290994866853,0.0923532662910173,-0.02685028223210894,0.04616542717228306,-0.023802322110717505,0.0834006512026721,-0.02086597150834351,-0.006614736276383544,0.002515033151180647,-0.10188031229704012,0.13683383382379347,-0.07015070404144841,0.08090400984465068,0.03803982912642832,-0.11840811136277862,0.008925566315356674,0.0017243116923414056,-0.05022281327424988,0.0004970385983497378,-0.007275705049760873,0.01287200451555337,0.02736300361667525,-0.09294376877666286,0.010352794844334337,-0.15456758174476232,-0.029179260470422352,-0.08218562333909293,0.06965908521916817,-0.11685861427712302,0.4264230379701829
Wind speed Sensor 1 (m/s),0.1268894619413329,0.005755197591645611,-0.04543847594566856,0.005035054212542467,0.03823043966806833,-0.016648757895130956,0.049312342970293355,0.0022401441010045983,-0.016193143208440203,-0.004514961072311351,0.034180189163219354,-0.005528955995450949,-9.189496359116034e-05,-0.0018271612370330693,-0.0037574558170011298,-0.000485943308485815,0.020747794609465242,0.004505650233907935,-0.023352787619227766,0.002545405940311052,-0.012745715151674913,0.002200877652015737,-0.007065907102401625,-0.008351544202474151,0.007070094040814582,-0.0016813381430363017,0.0022132088076992056,-0.0017184763062261903,-0.0005400782591327528,-0.004080761340984895,-0.005962921792983827,-0.004345595638802255,0.010159423309747728,-0.006293560736131999,-0.023525188608212844,0.0006310373763100952,0.006692966600626141
"Wind speed Sensor 1, Standard deviation (m/s)",0.07799428981136443,0.10794612103153711,-0.00032106844752932684,-0.0036157498777876613,-0.10485202440448796,0.014633347986513077,-0.167041990257613,-0.02433072430541132,-0.04906401725319866,-0.02349197250895811,0.08972872524603975,-0.025987859820010097,0.039815817390857794,-0.04900318329808124,-0.023172963163604832,-0.014610415483600299,-0.06069611190844061,-0.008812396447690496,-0.01793733352644454,0.04076631850991101,-0.06050693693046923,-0.009811459055703933,-0.032628845501512044,0.016633970152603816,-0.01859221189744445,-0.000556650426535763,-0.004548532774035122,-0.020041142278152763,0.03934448062901659,-0.008647579134006322,-0.11365429021316649,0.020382979903900117,0.08059283157304307,0.006399244878910387,-0.05192669881091888,0.06151915856581497,-0.07555793266535304
"Wind speed Sensor 1, Minimum (m/s)",0.11050167050293276,-0.038933728464288775,-0.053574102860200784,0.007672246075519737,0.0828944369127732,-0.02386509423860282,0.11928119757599309,0.011652970559758674,0.003721904418354481,0.006006509194989171,-0.006853827173616045,0.006316875573412664,-0.018747027624647875,0.02117981786619304,0.006617727082031323,0.0061093265679859335,0.049612837568219575,0.005437592158059633,-0.015790222767182498,-0.02016608529985725,0.00880994009461607,0.01125262347535997,0.005711800953773331,-0.012331551300516462,0.015449314811327476,-0.0030521578165732905,0.005786961444490406,0.006440484586844276,-0.02115214513288145,0.002129410154677415,0.05651550514267463,-0.016205383766500367,-0.03377878530550682,-0.009369160195169215,-0.0031571734938480867,-0.03489826606959735,0.05178780715527269
"Wind speed Sensor 1, Maximum (m/s)",0.12573643163488155,0.03852630866262911,-0.037328944796275895,0.0031384173035932383,-0.006851687858584823,-0.007774128972628941,-0.01914001126755456,-0.0072542392293369826,-0.025571339848217745,-0.00960564982000163,0.04646817021751898,-0.010935319292146202,0.01097363648515938,-0.018892863428499634,-0.010568034755066832,-0.0051857452231318605,-0.004959433004120273,-0.0004018947213766666,-0.022011268218112223,0.010456225668384,-0.03261421515012464,0.0021899991935349847,-0.015571272204697062,0.008753969308753232,-0.0006597563740063511,-0.0013596540389890447,0.0005381360428230057,-0.005419868864733564,0.0093186398896857,-0.0037713314131747402,-0.03168092074729634,0.0003495845221581431,0.027903401226353687,-0.0041902300799943806,-0.034151175991667324,0.021566563270421623,-0.010683134073047863
Wind speed Sensor 2 (m/s),0.12710435688798663,-0.00609193412266712,-0.04033595039406352,0.005122479010090442,0.04042515892589174,-0.016003575240665258,0.04927982583227961,0.0011374497808554623,-0.011607060908172817,-0.004753875327142467,0.03588182906860454,-0.006717356858332302,0.005310333916342613,0.0035704090678825417,-0.0012389438507326173,0.0007031488949043412,0.01898314706667577,0.007234855671321851,-0.0232670835063771,0.0004631175510781682,-0.009710593208395527,0.003998116105085617,-0.005975700653647914,-0.011843544294260488,0.0069388089132717615,-0.00094873522279327,0.0019895940013539047,-9.58822666532709e-05,0.003358086055291358,-0.0033551557316957303,-0.007932632460837682,0.0008559629973552141,0.009249641407794468,-0.003596273896143684,-0.02196601647697702,-0.0005265297632122468,0.004395879479919151
