,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33
Wind speed (m/s),0.1368214279959526,-0.03491381581530276,0.028466940595128335,0.028178543972891174,0.004814084471034332,-0.03634778290279543,-0.00735840682281706,-0.0015859289597465595,0.02572846127440201,0.007745025279199041,-0.0284714422318562,0.06500458791854057,-0.038739241408090694,0.0009165248450150195,-0.014981486256307974,-0.0032210846409592357,-0.01684247571993097,0.0036883282715004843,-0.014981311550098103,-0.020570973960780642,-0.012455493827821946,-0.0039128832879600116,-0.0006804837095435735,0.00019038867032315578,0.008832409663414434,-0.00690214643356207,-0.013289483210476068,0.006038256522707787,-0.014682856427341962,-0.010617864666142961,-0.016589277593438166,-0.0006748807985626214,-0.04154257235063246
"Wind speed, Standard deviation (m/s)",0.08675238173853084,0.0848467505787087,0.051343739505521686,-0.11193938494910437,-0.05894799651908659,0.18480707776244035,-0.01362657966402564,-0.012753688130292578,-0.0033038938914958767,-0.03479129626343187,0.01111276263103354,-0.031205150354272265,0.02557274016860087,-0.041536578842353344,-0.05140187283949635,0.012898786838901981,-0.04813610361032189,-0.040715885525330946,0.015474086414610906,0.003441206724042346,-0.04795197227350373,0.02112933563148678,0.005705003906590333,0.0021554969183876253,0.06776074577921733,-0.059927091778957685,-0.06956500593982089,0.08139495638146589,-0.028170346108000295,-0.01915231982440468,0.03606574570179715,0.008123166020188394,-0.02321983206517478
"Wind speed, Minimum (m/s)",0.11556257697853611,-0.07652558629883754,0.010563882294239435,0.07670442158607643,0.030948709668364605,-0.11651687389890031,-0.005439269485216523,0.006531048851015614,0.004516600414863348,0.015880148903339317,-0.044304838921218795,0.049221953112582706,-0.0016986566044837892,-0.02105688517393959,0.062340200927537476,-0.061187417556670155,0.020904167610349963,0.006164690042121638,0.0015392859754814608,0.022723586694342494,0.017170274279624323,-0.038193218150285875,-0.0029051084048324943,-0.006641501596656419,-0.0003574901519377144,0.04788822955353304,0.020892070988216813,-0.04065855414373487,0.004186125936156285,-0.010320392353179402,-0.0452287592696141,0.02288218251244818,0.027556839956253847
"Wind speed, Maximum (m/s)",0.1369623977372277,-0.0019844852553329018,0.039704315424765796,-0.015338087473141165,-0.01502326442128428,0.031185053733581325,-0.013105417646105982,-0.0034100371232947627,-0.0006001647852118264,-0.010723696035730264,-0.021568660525228822,0.01364497316852531,0.01505013255350568,-0.03905577677906493,0.00903826723657182,-0.03189941136568812,-0.016332569845884354,-0.01974665006030727,0.011134775575635268,0.01833291521147444,-0.017737493518329935,-0.016311849577362415,8.951549577918428e-05,-0.0023398948574643377,0.04323397651331411,-0.00483240806809359,-0.0356826633527595,0.030574443166460602,-0.02027788574558219,-0.018736421228868413,-0.00967427746685759,0.020412411481395793,0.005630282803493605
Long Term Wind (m/s),0.026477151669585218,-0.0866252033195099,-0.17581899711298649,-0.0030696751637113717,0.004249986196503283,0.07259984700939381,0.054296940523666515,0.1156718533455031,0.021743782752268022,-0.016730902181738387,0.02689426750476359,0.011377279459464484,-0.0488541928885238,0.015080255466070027,-0.03990647874623357,-0.05393123376533043,-0.06696345599405155,-0.05709824264344513,-0.029192080174731933,-0.1665999738041564,0.05734253760320615,0.09532824971632264,-0.0029420767557695373,0.03323235910938464,-0.06542539864677568,-0.015469065871638047,0.05666405170004376,-0.04794383073596468,0.05636666032208246,-0.024723798657616633,-0.07636192189827593,-0.033937742754040316,-0.2540869602399726
Wind speed Sensor 1 (m/s),0.13693737601470582,-0.02680921228197447,0.039213613106397815,0.02448977723440876,0.0047968349899675244,-0.03488190914503225,-0.011012321928456359,-0.008769327793884374,0.023591365896370148,0.006790799220285727,-0.02531190549505819,0.06083222552579648,-0.037520796993991946,0.005574391255653803,-0.008671617353478234,-0.0002816728894405795,-0.019829418556977868,0.0034906450006441346,-0.016203376451593976,-0.021075021688367418,-0.012395384697456407,-0.0051803756754603605,-0.0006158336117644291,-0.00010375542321256989,0.008323163899549818,-0.004412365666524781,-0.019083115225667212,0.009147474426031348,-0.01679968273538516,-0.0138514804348569,-0.025701015512159878,-0.00948370545482135,-0.03694187746732015
"Wind speed Sensor 1, Standard deviation (m/s)",0.08217875784334047,0.08919934329162077,0.05298437720773197,-0.12221158315815467,-0.06171621793943368,0.2010618687436213,-0.013902102639686477,-0.00952833414969569,-0.004380683805951413,-0.03570440688058853,0.014618995515672653,-0.03343366965595801,0.025592137866252668,-0.04391091418614079,-0.0472986671033615,0.0114660347496394,-0.04763924346541231,-0.04120401222488485,0.016178716270664646,-0.003643014184561786,-0.05418347737741263,0.015812005093311224,0.004572026891258233,0.004215501468612155,0.07172746995019731,-0.06051994322858977,-0.06702089176182655,0.0837455163375179,-0.028272707671228536,-0.02058007745881238,0.027263308091743724,0.01684572775025055,-0.01889845010742071
"Wind speed Sensor 1, Minimum (m/s)",0.11913586796041695,-0.06821329403350816,0.023648998879191918,0.0755079127527733,0.03154661596808493,-0.11998659961224445,-0.009012991819599803,-0.002739072071709314,0.0017777807949761757,0.016359538589516692,-0.04136691413633138,0.04494938041291405,0.0016600842748311084,-0.01667729206197107,0.06383256025871167,-0.05700486913638857,0.01961395866931797,0.007034861119123898,-4.275267910557046e-05,0.023797389175580552,0.01768254428878142,-0.04117484058981567,-0.002636373402029837,-0.009045218266556842,-0.0018814833703299583,0.0482029268286729,0.011392009864407299,-0.037635007125604386,0.0005863601426457071,-0.016466761904551548,-0.052615381884553176,0.008051375229917106,0.03243176397478063
"Wind speed Sensor 1, Maximum (m/s)",0.13663926029167103,0.004188407153519395,0.04869147138211631,-0.01943581599264317,-0.015563452794163823,0.03384661471526604,-0.015570512157579153,-0.008187963708137888,-0.00263188680987525,-0.011735659647957225,-0.017578873146992014,0.010212318177280105,0.014811660222124101,-0.035485630818698315,0.014580367629915741,-0.029638415644604066,-0.01799560095934777,-0.018494600497617336,0.009953355267522057,0.01407961887188236,-0.018794694584362837,-0.01852199561543382,-3.940863254512164e-05,-0.0029347881235462364,0.04394229876613753,-0.0054474121235313505,-0.03946129574361962,0.0323619262658596,-0.024157853944686947,-0.02405945742410915,-0.021531688018009962,0.01386329629415661,0.011887850821940896
Wind speed Sensor 2 (m/s),0.13669026132270595,-0.03504435560994496,0.028569709986114893,0.028217294250971584,0.004627013984076667,-0.036156310135206926,-0.007365564033024685,-0.0016057799463746886,0.025080546377545143,0.008225136047731445,-0.02859172366538025,0.064186832571718,-0.0385003921380678,0.0005196832847438173,-0.015874617845924064,-0.002826321648636547,-0.01733808842090727,0.004363422618709138,-0.015137312739860936,-0.020202087348813486,-0.010850607633125925,-0.004518233808415838,-0.0007888032695471964,-3.1904490991065647e-06,0.008159068871058273,-0.008243484983592925,-0.013083696631845804,0.006943943098032576,-0.0155010088565974,-0.009357865115737926,-0.016303134443087702,-0.0024207881873629118,-0.03874566346990026
