component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3504887472419938,0.3504887472419938
PC2,0.10509988883895727,0.45558863608095107
PC3,0.09265332163019828,0.5482419577111494
PC4,0.062171080919360945,0.6104130386305103
PC5,0.044531335215856824,0.6549443738463672
PC6,0.03794457288424221,0.6928889467306094
PC7,0.02977332263462016,0.7226622693652296
PC8,0.027543029170625677,0.7502052985358553
PC9,0.021842520109385182,0.7720478186452404
PC10,0.017970980972478227,0.7900187996177186
PC11,0.016484178851478258,0.8065029784691968
PC12,0.016005201226191975,0.8225081796953888
PC13,0.01390690475590404,0.8364150844512929
PC14,0.013219762736120886,0.8496348471874138
PC15,0.01117911662879727,0.860813963816211
PC16,0.009917049242227728,0.8707310130584387
PC17,0.009000854581765558,0.8797318676402043
PC18,0.00847621952142623,0.8882080871616305
PC19,0.007697164543743209,0.8959052517053737
PC20,0.006950108642525973,0.9028553603478997
PC21,0.006787709280009221,0.909643069627909
PC22,0.00676033969166649,0.9164034093195754
PC23,0.0065448185588133125,0.9229482278783887
PC24,0.005987737008423305,0.928935964886812
PC25,0.005868931294318153,0.9348048961811302
PC26,0.0051276093905972655,0.9399325055717275
PC27,0.0048499910513861814,0.9447824966231136
PC28,0.0038780351892627046,0.9486605318123763
PC29,0.003416498176330185,0.9520770299887065
