,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Wind speed (m/s),0.134187657243856,-0.01306499472852139,0.035693382229827986,0.033786033287559095,-0.006125778112362281,-0.05004145647301353,-0.0054876838161734874,0.014999411567000024,0.011650468491326062,-0.04107135386242118,0.014461108917670414,-0.051829405559178504,-0.01671048821336167,-0.016056683649308585,-0.0192919902152298,0.010999251626049034,-0.005339413799715634,-0.004948681885709132,-0.009264294489609309,-0.016437227331989997,0.009836046746091879,0.0045611166450005985,-0.0014285371523190882,-0.003759047976538698,-0.0037811083923533144,0.023160680699235502,0.005210058120966763,-0.03578602241998899,-0.028331555094936758
"Wind speed, Standard deviation (m/s)",0.0882575831472624,0.10447134962796038,0.01493589067938661,-0.084115583699825,-0.025000023519372923,0.1915380750803194,-0.03527024159169371,-0.029224003368924653,-0.0179370311969708,0.033251632538127504,-0.002640664993827342,-0.004311406751887481,-0.010138833254292103,-0.0421827980768016,0.014126240092054208,0.015639127934463894,0.005517478456137407,-0.006721711982372294,-0.06566179810156028,-0.009020155054971918,0.03136838787796632,0.01599758852471615,-0.05250469918875413,-0.015074587887629368,-0.04712136645311908,0.13325083768867862,0.01119489896808079,0.030952238248244463,-0.2005594109408359
"Wind speed, Minimum (m/s)",0.11361847774849683,-0.061647270949365895,0.03720583978495351,0.07137667800271863,0.004279570953502815,-0.13510888071430438,0.010165175791510883,0.02867875400395105,0.023467560171136076,-0.05638001795732012,0.01534605790500635,-0.05088789974172023,-0.009960988951396521,0.0028159988822378176,-0.02007655347809826,0.0015114035349815466,-0.007289486331635042,0.006333833998975325,0.018259688321305735,-0.013592594120029274,-0.004048150614017473,-0.00022289216763712177,0.024207239874853053,0.00670433154407912,0.028113012235046992,-0.05170429696234583,-0.0053727351708463805,-0.07538987050241786,0.08691580934245349
"Wind speed, Maximum (m/s)",0.13368391761353313,0.023826257152692598,0.03360931715433502,-0.004300374716793606,-0.01323927390315758,0.02776909126697441,-0.015976121289124567,-0.00010879123091381282,0.0002292069866357549,-0.014277647143785821,0.008151263030736322,-0.03365316042000738,-0.013177253677758294,-0.024628356017774994,-0.004297144754301804,0.010259963799916942,-0.0012189364659760497,0.0033441926498302688,-0.027502242794166604,-0.01938276007101125,0.01686371437976663,0.009768755955365221,-0.013838558422453767,-0.0060906217149975985,-0.00970088140105719,0.05353607892176265,0.007937458322121336,-0.02291205508462074,-0.07255734784944859
Long Term Wind (m/s),0.029043518445009082,-0.1480406777605029,-0.10287367094176911,-0.02106930011164232,0.056102062306973496,0.07726630101413845,0.022420618569570262,-0.10848293630984955,0.008723518027732857,0.10312169776306246,-0.004467424300206468,-0.0046456758242855445,0.01784760509966135,-0.0713990598397369,-0.13265590504328764,0.0012928965493191474,-0.012121786448941699,-0.09776295712252656,0.019113989358706195,-0.05786964994000733,0.036885785360470144,0.009238045008185002,-0.02771491853039309,-0.07283466808904666,0.006073000879459126,-0.028588436729250738,-0.06381869933674553,-0.014672572841499226,0.0961034273264043
Wind speed Sensor 1 (m/s),0.13401145023863603,-0.001924515434494789,0.042898197277286,0.030706047837505968,-0.007257708588982462,-0.04895090158379872,-0.00674720815001658,0.018412245386153048,0.008416355129716536,-0.04436152295859878,0.01406693314752127,-0.04601981701721597,-0.01845037967832483,-0.012195149325031476,-0.015017470932752477,0.01163743482793702,-0.006035599210856266,-0.0027997798939493022,-0.00855947298836729,-0.023612263011601936,0.012844527695250345,0.006914787158617406,0.0013026759367025858,-0.008466508185880597,0.0031047624032007927,0.025347707493127425,0.007833453035459556,-0.04236037056018058,-0.021816511309969824
"Wind speed Sensor 1, Standard deviation (m/s)",0.08301977385211204,0.10882348400684383,0.016245736141878908,-0.09248856209616946,-0.02416195494897212,0.21051339668859997,-0.03674686695791022,-0.03311695530582501,-0.016181013819612663,0.03252554390670859,-0.0013803307880124668,-0.005712089344518473,-0.023215072588006473,-0.047555867547425114,0.011015126521518606,0.02122233011830955,0.005541657319681675,-0.010705411758461366,-0.06589558611520235,-0.012138428668180698,0.02985042719643869,0.013927306775163772,-0.04527254442891572,-0.013783323662679467,-0.053541520920683996,0.13815210016480423,0.019031531525044762,0.04465448392923638,-0.20758095488290745
"Wind speed Sensor 1, Minimum (m/s)",0.11651198051916678,-0.04853602926059741,0.0439906656518711,0.07050452769690296,0.0017317633255697906,-0.13899920551925193,0.007903690793284375,0.034340138065097385,0.014843624384798498,-0.059244016218569395,0.014573307741252733,-0.04497769104870386,-0.0067992044425709275,0.010007244276788903,-0.01610422472576826,0.0010688925406921977,-0.007915784328711905,0.010441706975736017,0.01882004529450791,-0.021121534565279078,0.002365717461005244,0.0011954287957465365,0.0255233135137425,-0.0006211359120450888,0.034676428610628446,-0.047273941053239815,-0.0017967089434970593,-0.08057763599295788,0.0955952050167348
"Wind speed Sensor 1, Maximum (m/s)",0.1330450861856152,0.032370647745276676,0.04024216913710022,-0.007695043158493939,-0.013614583300475158,0.031318332513888714,-0.01690763378959559,0.0026560456337192395,-0.0024929311398825815,-0.01662506478837869,0.00842019068366614,-0.030410475164994344,-0.019113328315154304,-0.02193615041717914,-0.0033617907077248543,0.01334378803201175,-0.0006285129142107326,0.004423118816662783,-0.025539387946570624,-0.026158837510979138,0.020053477869350536,0.010159690793635455,-0.007367859599887365,-0.009622321550598063,-0.0077571608105753,0.056659889389179374,0.014168165440972259,-0.026227226217186664,-0.06663968978191499
Wind speed Sensor 2 (m/s),0.13414507287720626,-0.012920822006499242,0.035402097571531344,0.033763874125048554,-0.006526563195319857,-0.04960288399419682,-0.00508838596259667,0.014165502791255391,0.011729216636570016,-0.04102999126183188,0.014311986820876067,-0.051086838242517224,-0.016344185101438417,-0.016216987078109132,-0.01825332438287891,0.010414198952157866,-0.005506266860141815,-0.004052253909694006,-0.009501706073236596,-0.017621034872692676,0.010440363013043186,0.006089059546919122,-0.002122088924023411,-0.0037523175366687006,-0.0032415236005297055,0.022246907925256465,0.004044062150281365,-0.03561068956742408,-0.02768803634446443
